sim_time,co2_kg,hours,km,kwh,mode
9.90659921122837,0.02144,0.1,0.1,0.0776,forklift
9.98089681910358,0.02144,0.1,0.1,0.0776,forklift
10.572046239163514,0.02144,0.1,0.1,0.0776,forklift
10.575866946481778,0.02144,0.1,0.1,0.0776,forklift
10.598635125373056,0.02144,0.1,0.1,0.0776,forklift
10.609195311949343,0.02144,0.1,0.1,0.0776,forklift
10.636638799341762,0.02144,0.1,0.1,0.0776,forklift
10.66703230178475,0.02144,0.1,0.1,0.0776,forklift
10.717581743837382,0.02144,0.1,0.1,0.0776,forklift
10.728402699728488,0.02144,0.1,0.1,0.0776,forklift
10.771993548743211,0.02144,0.1,0.1,0.0776,forklift
10.80927966629891,0.02144,0.1,0.1,0.0776,forklift
10.941529917540969,0.02144,0.1,0.1,0.0776,forklift
10.970882910389877,0.02144,0.1,0.1,0.0776,forklift
10.983608879318295,0.02144,0.1,0.1,0.0776,forklift
11.019758361450695,0.02144,0.1,0.1,0.0776,forklift
11.026909608962846,0.02144,0.1,0.1,0.0776,forklift
11.094133193159818,0.02144,0.1,0.1,0.0776,forklift
11.124678189780328,0.02144,0.1,0.1,0.0776,forklift
12.711087267814257,0.02144,0.1,0.1,0.0776,forklift
14.826401439961941,0.02144,0.1,0.1,0.0776,forklift
14.94082215030839,0.02144,0.1,0.1,0.0776,forklift
16.22277071028599,0.02144,0.1,0.1,0.0776,forklift
16.377514999054544,0.02144,0.1,0.1,0.0776,forklift
16.59570104929562,0.02144,0.1,0.1,0.0776,forklift
16.757414447140775,0.02144,0.1,0.1,0.0776,forklift
17.880185733754104,0.02144,0.1,0.1,0.0776,forklift
17.9721917779583,0.02144,0.1,0.1,0.0776,forklift
17.98245080353264,0.02144,0.1,0.1,0.0776,forklift
18.54860360451636,0.02144,0.1,0.1,0.0776,forklift
18.737740630089103,0.02144,0.1,0.1,0.0776,forklift
18.774730701319402,0.02144,0.1,0.1,0.0776,forklift
18.798592280442957,0.02144,0.1,0.1,0.0776,forklift
18.925426661894196,0.02144,0.1,0.1,0.0776,forklift
18.95464923754818,0.02144,0.1,0.1,0.0776,forklift
18.981150189471855,0.02144,0.1,0.1,0.0776,forklift
19.099469388058136,0.02144,0.1,0.1,0.0776,forklift
19.122901345595942,0.02144,0.1,0.1,0.0776,forklift
19.351214202487256,0.02144,0.1,0.1,0.0776,forklift
19.80609645414719,0.02144,0.1,0.1,0.0776,forklift
21.232921970315463,0.02144,0.1,0.1,0.0776,forklift
21.721148237474296,0.02144,0.1,0.1,0.0776,forklift
30.720060548814995,0.02144,0.1,0.1,0.0776,forklift
32.52146062159998,0.02144,0.1,0.1,0.0776,forklift
32.849586313142666,0.02144,0.1,0.1,0.0776,forklift
33.34830011728462,0.02144,0.1,0.1,0.0776,forklift
33.89134155951914,0.02144,0.1,0.1,0.0776,forklift
34.59142887172014,0.02144,0.1,0.1,0.0776,forklift
34.68412611496549,0.02144,0.1,0.1,0.0776,forklift
34.92891820177736,0.02144,0.1,0.1,0.0776,forklift
34.94479553990456,0.02144,0.1,0.1,0.0776,forklift
34.97430223779126,0.02144,0.1,0.1,0.0776,forklift
35.395792538591614,0.02144,0.1,0.1,0.0776,forklift
36.38453867912416,0.02144,0.1,0.1,0.0776,forklift
37.052710592051874,0.02144,0.1,0.1,0.0776,forklift
37.138868037940604,0.02144,0.1,0.1,0.0776,forklift
37.42347295512148,0.02144,0.1,0.1,0.0776,forklift
37.441349434096914,0.02144,0.1,0.1,0.0776,forklift
37.94763899757153,0.02144,0.1,0.1,0.0776,forklift
38.10092612006789,0.02144,0.1,0.1,0.0776,forklift
38.146955037323465,0.02144,0.1,0.1,0.0776,forklift
38.1655696843588,0.02144,0.1,0.1,0.0776,forklift
38.219657193394234,0.02144,0.1,0.1,0.0776,forklift
38.48000874780669,0.02144,0.1,0.1,0.0776,forklift
38.617100141915046,0.02144,0.1,0.1,0.0776,forklift
38.644480810578735,0.02144,0.1,0.1,0.0776,forklift
38.64684206253532,0.02144,0.1,0.1,0.0776,forklift
38.90174466294829,0.02144,0.1,0.1,0.0776,forklift
39.1610154125465,0.02144,0.1,0.1,0.0776,forklift
39.187254257710855,0.02144,0.1,0.1,0.0776,forklift
39.36539096976896,0.02144,0.1,0.1,0.0776,forklift
40.2891353516091,0.02144,0.1,0.1,0.0776,forklift
41.705808920909995,0.02144,0.1,0.1,0.0776,forklift
41.96181958860472,0.02144,0.1,0.1,0.0776,forklift
42.773699088241955,0.02144,0.1,0.1,0.0776,forklift
43.2187481537443,0.02144,0.1,0.1,0.0776,forklift
43.728245695710974,0.02144,0.1,0.1,0.0776,forklift
44.118945362682894,0.02144,0.1,0.1,0.0776,forklift
44.22053331683109,0.02144,0.1,0.1,0.0776,forklift
44.33725954612312,0.02144,0.1,0.1,0.0776,forklift
44.56463271820968,0.02144,0.1,0.1,0.0776,forklift
44.95571698911916,0.02144,0.1,0.1,0.0776,forklift
45.57934874303492,0.02144,0.1,0.1,0.0776,forklift
54.76081790011453,0.02144,0.1,0.1,0.0776,forklift
54.845690586715214,0.02144,0.1,0.1,0.0776,forklift
55.0543544885708,0.02144,0.1,0.1,0.0776,forklift
55.128902860702205,0.02144,0.1,0.1,0.0776,forklift
55.97768083763378,0.02144,0.1,0.1,0.0776,forklift
56.23898562104327,0.02144,0.1,0.1,0.0776,forklift
56.61120876577496,0.02144,0.1,0.1,0.0776,forklift
56.89702134352541,0.02144,0.1,0.1,0.0776,forklift
57.143086439558594,0.02144,0.1,0.1,0.0776,forklift
57.5238942673736,0.02144,0.1,0.1,0.0776,forklift
57.81515404123557,0.02144,0.1,0.1,0.0776,forklift
57.83982198718363,0.02144,0.1,0.1,0.0776,forklift
57.90186991791859,0.02144,0.1,0.1,0.0776,forklift
57.9957633399499,0.02144,0.1,0.1,0.0776,forklift
57.996025162570355,0.02144,0.1,0.1,0.0776,forklift
58.822287316449774,0.02144,0.1,0.1,0.0776,forklift
58.89927053023235,0.02144,0.1,0.1,0.0776,forklift
58.97250412274079,0.02144,0.1,0.1,0.0776,forklift
60.504605003986185,0.02144,0.1,0.1,0.0776,forklift
61.00587313805645,0.02144,0.1,0.1,0.0776,forklift
61.20582437616118,0.02144,0.1,0.1,0.0776,forklift
61.427122849016385,0.02144,0.1,0.1,0.0776,forklift
61.7661471980332,0.02144,0.1,0.1,0.0776,forklift
64.65440962615497,0.02144,0.1,0.1,0.0776,forklift
64.87903930646496,0.02144,0.1,0.1,0.0776,forklift
64.92530137838061,0.02144,0.1,0.1,0.0776,forklift
64.95389948499907,0.02144,0.1,0.1,0.0776,forklift
65.05694501063292,0.02144,0.1,0.1,0.0776,forklift
65.79824364560284,0.02144,0.1,0.1,0.0776,forklift
