order_id,completion_time,due_time,items_completed,items_total,release_time,shipped_time,start_time,status
Ord-00001,35.395792538591614,168.0,1,1,0,43.0,,shipped
Ord-00002,21.232921970315463,168.0,1,1,0,43.0,,shipped
Ord-00003,32.52146062159998,168.0,1,1,0,43.0,,shipped
Ord-00004,34.94479553990456,168.0,1,1,0,43.0,,shipped
Ord-00005,32.849586313142666,168.0,1,1,0,43.0,,shipped
Ord-00006,38.146955037323465,168.0,1,1,0,43.0,,shipped
Ord-00007,37.42347295512148,168.0,1,1,0,43.0,,shipped
Ord-00008,37.052710592051874,168.0,1,1,0,43.0,,shipped
Ord-00009,34.97430223779126,168.0,1,1,0,43.0,,shipped
Ord-00010,37.138868037940604,168.0,1,1,0,43.0,,shipped
Ord-00011,30.720060548814995,168.0,1,1,0,43.0,,shipped
Ord-00012,38.617100141915046,168.0,1,1,0,43.0,,shipped
Ord-00013,33.34830011728462,168.0,1,1,0,43.0,,shipped
Ord-00014,33.89134155951914,168.0,1,1,0,43.0,,shipped
Ord-00015,37.441349434096914,168.0,1,1,0,43.0,,shipped
Ord-00016,21.721148237474296,168.0,1,1,0,43.0,,shipped
Ord-00017,34.68412611496549,168.0,1,1,0,43.0,,shipped
Ord-00018,34.92891820177736,168.0,1,1,0,43.0,,shipped
Ord-00019,34.59142887172014,168.0,1,1,0,43.0,,shipped
Ord-00020,36.38453867912416,168.0,1,1,0,43.0,,shipped
Ord-00021,57.83982198718363,168.0,1,1,0,67.0,,shipped
Ord-00022,66.87550367006402,168.0,1,1,0,67.0,,shipped
Ord-00023,65.90443649338549,168.0,1,1,0,67.0,,shipped
Ord-00024,61.7661471980332,168.0,1,1,0,67.0,,shipped
Ord-00025,60.504605003986185,168.0,1,1,0,67.0,,shipped
Ord-00026,61.427122849016385,168.0,1,1,0,67.0,,shipped
Ord-00027,66.66993874776121,168.0,1,1,0,67.0,,shipped
Ord-00028,65.79824364560284,168.0,1,1,0,67.0,,shipped
Ord-00029,58.97250412274079,168.0,1,1,0,67.0,,shipped
Ord-00030,65.05694501063292,168.0,1,1,0,67.0,,shipped
Ord-00031,64.92530137838061,168.0,1,1,0,67.0,,shipped
Ord-00032,67.2232307055078,168.0,1,1,0,91.0,,shipped
Ord-00033,67.67787963488412,168.0,1,1,0,91.0,,shipped
Ord-00034,61.20582437616118,168.0,1,1,0,67.0,,shipped
Ord-00035,68.7235989040558,168.0,1,1,0,91.0,,shipped
Ord-00036,64.87903930646496,168.0,1,1,0,67.0,,shipped
Ord-00037,64.95389948499907,168.0,1,1,0,67.0,,shipped
Ord-00038,66.9695747530595,168.0,1,1,0,67.0,,shipped
Ord-00039,64.65440962615497,168.0,1,1,0,67.0,,shipped
Ord-00040,67.37447989801952,168.0,1,1,0,91.0,,shipped
Ord-00041,91.13183557780312,168.0,1,1,0,115.0,,shipped
Ord-00042,92.84547710025004,168.0,1,1,0,115.0,,shipped
Ord-00043,91.59167184883792,168.0,1,1,0,115.0,,shipped
Ord-00044,91.58379666949398,168.0,1,1,0,115.0,,shipped
Ord-00045,108.08089855612528,168.0,1,1,0,115.0,,shipped
Ord-00046,91.80708903129894,168.0,1,1,0,115.0,,shipped
Ord-00047,107.63486205366411,168.0,1,1,0,115.0,,shipped
Ord-00048,104.7563014012468,168.0,1,1,0,115.0,,shipped
Ord-00049,104.20669493973448,168.0,1,1,0,115.0,,shipped
Ord-00050,103.16674485035864,168.0,1,1,0,115.0,,shipped
Ord-00051,102.63859077463502,168.0,1,1,0,115.0,,shipped
Ord-00052,108.23000822647062,168.0,1,1,0,115.0,,shipped
Ord-00053,89.68754020547358,168.0,1,1,0,91.0,,shipped
Ord-00054,106.59520832495758,168.0,1,1,0,115.0,,shipped
Ord-00055,105.56211635343945,168.0,1,1,0,115.0,,shipped
Ord-00056,105.08278824007054,168.0,1,1,0,115.0,,shipped
Ord-00057,108.46906996338173,168.0,1,1,0,115.0,,shipped
Ord-00058,109.06473916292472,168.0,1,1,0,115.0,,shipped
Ord-00059,107.22268971179692,168.0,1,1,0,115.0,,shipped
Ord-00060,102.28770011238461,168.0,1,1,0,115.0,,shipped
Ord-00061,133.93006722387423,168.0,1,1,0,139.0,,shipped
Ord-00062,130.50999920335076,168.0,1,1,0,139.0,,shipped
Ord-00063,136.08931763490276,168.0,1,1,0,139.0,,shipped
Ord-00064,129.22364506793082,168.0,1,1,0,139.0,,shipped
Ord-00065,132.9462136276989,168.0,1,1,0,139.0,,shipped
Ord-00066,127.77659159822448,168.0,1,1,0,139.0,,shipped
Ord-00067,131.31446172572035,168.0,1,1,0,139.0,,shipped
Ord-00068,136.77435066667417,168.0,1,1,0,139.0,,shipped
Ord-00069,174.41020537367885,168.0,1,1,0,187.0,,shipped
Ord-00070,137.84143647543854,168.0,1,1,0,139.0,,shipped
Ord-00071,134.34120082378166,168.0,1,1,0,139.0,,shipped
Ord-00072,136.4349730152899,168.0,1,1,0,139.0,,shipped
Ord-00073,137.71397270604334,168.0,1,1,0,139.0,,shipped
Ord-00074,137.7695223781242,168.0,1,1,0,139.0,,shipped
Ord-00075,137.92152127817508,168.0,1,1,0,139.0,,shipped
Ord-00076,139.53535276420288,168.0,1,1,0,163.0,,shipped
Ord-00077,139.14334880442894,168.0,1,1,0,163.0,,shipped
Ord-00078,136.77447878114884,168.0,1,1,0,139.0,,shipped
Ord-00079,133.92147237506578,168.0,1,1,0,139.0,,shipped
Ord-00080,139.46155008664613,168.0,1,1,0,163.0,,shipped
Ord-00081,187.4448825364064,168.0,1,1,0,,,completed
Ord-00082,186.7431549647908,168.0,1,1,0,187.0,,shipped
Ord-00083,189.05092116150422,168.0,1,1,0,,,completed
Ord-00084,187.65835838443044,168.0,1,1,0,,,completed
Ord-00085,187.59268181202927,168.0,1,1,0,,,completed
Ord-00086,187.35663972216128,168.0,1,1,0,,,completed
Ord-00087,187.3123768383084,168.0,1,1,0,,,completed
Ord-00088,,168.0,0,1,0,,,open
Ord-00089,,168.0,0,1,0,,,open
Ord-00090,,168.0,0,1,0,,,open
Ord-00091,,168.0,0,1,0,,,open
Ord-00092,188.67561774853795,168.0,1,1,0,,,completed
Ord-00093,,168.0,0,1,0,,,open
Ord-00094,,168.0,0,1,0,,,open
Ord-00095,189.33544577157411,168.0,1,1,0,,,completed
Ord-00096,,168.0,0,1,0,,,open
Ord-00097,,168.0,0,1,0,,,open
Ord-00098,,168.0,0,1,0,,,open
Ord-00099,,168.0,0,1,0,,,open
Ord-00100,,168.0,0,1,0,,,open
Ord-00101,,168.0,0,1,0,,,open
Ord-00102,,168.0,0,1,0,,,open
Ord-00103,,168.0,0,1,0,,,open
Ord-00104,,168.0,0,1,0,,,open
Ord-00105,,168.0,0,1,0,,,open
Ord-00106,,168.0,0,1,0,,,open
Ord-00107,,168.0,0,1,0,,,open
Ord-00108,,168.0,0,1,0,,,open
Ord-00109,,168.0,0,1,0,,,open
Ord-00110,,168.0,0,1,0,,,open
Ord-00111,,168.0,0,1,0,,,open
Ord-00112,,168.0,0,1,0,,,open
Ord-00113,,168.0,0,1,0,,,open
Ord-00114,,168.0,0,1,0,,,open
Ord-00115,,168.0,0,1,0,,,open
Ord-00116,,168.0,0,1,0,,,open
Ord-00117,,168.0,0,1,0,,,open
Ord-00118,,168.0,0,1,0,,,open
Ord-00119,,168.0,0,1,0,,,open
Ord-00120,,168.0,0,1,0,,,open
Ord-00121,,168.0,0,1,0,,,open
Ord-00122,,168.0,0,1,0,,,open
Ord-00123,,168.0,0,1,0,,,open
Ord-00124,,168.0,0,1,0,,,open
Ord-00125,,168.0,0,1,0,,,open
