stage,machine,co2_kg,end,hours,kwh,start,state
Assembling,Assembling_Machine1,5.6,113.25985810986009,8.0,8.0,105.25985810986009,breakdown
Assembling,Assembling_Machine1,48.67606570696062,141.07475279955187,27.814894689691783,69.53723672422946,113.25985810986009,idle
Assembling,Assembling_Machine1,5.6,149.07475279955187,8.0,8.0,141.07475279955187,breakdown
Assembling,Assembling_Machine1,89.11918260078421,200,50.925247200448126,127.31311800112032,149.07475279955187,idle
Cutting,Cutting_Machine1,0.10500000000001641,6.099999999999994,0.050000000000007816,0.15000000000002345,6.0499999999999865,waiting_worker
Cutting,Cutting_Machine1,4.895104895104894,6.7993006993006935,0.6993006993006992,6.993006993006992,6.099999999999994,setup
Cutting,Cutting_Machine1,22.364444775094015,8.929247820738219,2.1299471214375254,31.949206821562882,6.7993006993006935,running
Cutting,Cutting_Machine1,6.680996680273138,9.883675917920096,0.9544280971818768,9.544280971818768,8.929247820738219,setup
Cutting,Cutting_Machine1,2.0614935988262566,10.619923631786616,0.7362477138665202,2.944990855466081,9.883675917920096,idle
Cutting,Cutting_Machine1,0.017500000000000248,10.500770252304243,0.5000000000000071,0.025000000000000355,10.000770252304235,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.500903975584846,0.5000000000000071,0.025000000000000355,10.000903975584839,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.500951079795605,0.5000000000000071,0.025000000000000355,10.000951079795598,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.5015151626064,0.5000000000000071,0.025000000000000355,10.001515162606394,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.50201631856062,0.5000000000000071,0.025000000000000355,10.002016318560614,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.502255613361232,0.5000000000000071,0.025000000000000355,10.002255613361225,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.502916643208415,0.5000000000000071,0.025000000000000355,10.002916643208408,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.503096425820303,0.5000000000000071,0.025000000000000355,10.003096425820296,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.503242999790368,0.5000000000000071,0.025000000000000355,10.003242999790361,calendar_off
