order_id,actual_delivery,cost,expected_delivery,material,order_time,quantity,status,supplier
PO-1-Steel_Sheet,88.70518117906187,759.0,,Steel_Sheet,64,126.5,delivered,Supplier_NA_Reliable
PO_1,175.65040842608278,300.0,175.65040842608278,Paint,96,100.0,delivered,Supplier_EU_Standard
