order_id,completion_time,due_time,items_completed,items_total,release_time,shipped_time,start_time,status
Ord-00001,33.67130852977474,168.0,1,1,0,43.0,,shipped
Ord-00002,32.60317240664077,168.0,1,1,0,43.0,,shipped
Ord-00003,35.66636200287048,168.0,1,1,0,43.0,,shipped
Ord-00004,35.74235178296635,168.0,1,1,0,43.0,,shipped
Ord-00005,35.917625972189015,168.0,1,1,0,43.0,,shipped
Ord-00006,35.99488621815348,168.0,1,1,0,43.0,,shipped
Ord-00007,22.19464184963328,168.0,1,1,0,43.0,,shipped
Ord-00008,35.627351571416774,168.0,1,1,0,43.0,,shipped
Ord-00009,34.6011908514297,168.0,1,1,0,43.0,,shipped
Ord-00010,22.537792067428,168.0,1,1,0,43.0,,shipped
Ord-00011,22.145739185322885,168.0,1,1,0,43.0,,shipped
Ord-00012,32.92054550605475,168.0,1,1,0,43.0,,shipped
Ord-00013,35.81339644825047,168.0,1,1,0,43.0,,shipped
Ord-00014,33.80645634091887,168.0,1,1,0,43.0,,shipped
Ord-00015,31.681973380841523,168.0,1,1,0,43.0,,shipped
Ord-00016,31.33714836275735,168.0,1,1,0,43.0,,shipped
Ord-00017,35.33123184547167,168.0,1,1,0,43.0,,shipped
Ord-00018,36.06567121892438,168.0,1,1,0,43.0,,shipped
Ord-00019,33.38218756095664,168.0,1,1,0,43.0,,shipped
Ord-00020,31.047368890880733,168.0,1,1,0,43.0,,shipped
Ord-00021,63.78740683938862,168.0,1,1,0,67.0,,shipped
Ord-00022,58.89418438380762,168.0,1,1,0,67.0,,shipped
Ord-00023,61.135443066907605,168.0,1,1,0,67.0,,shipped
Ord-00024,63.71134470167888,168.0,1,1,0,67.0,,shipped
Ord-00025,63.8156624153851,168.0,1,1,0,67.0,,shipped
Ord-00026,61.34714146796325,168.0,1,1,0,67.0,,shipped
Ord-00027,67.37659183501053,168.0,1,1,0,91.0,,shipped
Ord-00028,60.55837259343264,168.0,1,1,0,67.0,,shipped
Ord-00029,61.93119038766488,168.0,1,1,0,67.0,,shipped
Ord-00030,61.88950102176806,168.0,1,1,0,67.0,,shipped
Ord-00031,60.36511086330972,168.0,1,1,0,67.0,,shipped
Ord-00032,64.94949331386267,168.0,1,1,0,67.0,,shipped
Ord-00033,68.0799056045759,168.0,1,1,0,91.0,,shipped
Ord-00034,70.69337299998324,168.0,1,1,0,91.0,,shipped
Ord-00035,78.59605410484734,168.0,1,1,0,91.0,,shipped
Ord-00036,68.07319528120436,168.0,1,1,0,91.0,,shipped
Ord-00037,61.56017559897795,168.0,1,1,0,67.0,,shipped
Ord-00038,67.21929168485303,168.0,1,1,0,91.0,,shipped
Ord-00039,61.22276258360954,168.0,1,1,0,67.0,,shipped
Ord-00040,68.2626185066086,168.0,1,1,0,91.0,,shipped
Ord-00041,103.54336217165555,168.0,1,1,0,115.0,,shipped
Ord-00042,92.1171123005263,168.0,1,1,0,115.0,,shipped
Ord-00043,108.40311465228991,168.0,1,1,0,115.0,,shipped
Ord-00044,92.5249420314947,168.0,1,1,0,115.0,,shipped
Ord-00045,102.06255898507352,168.0,1,1,0,115.0,,shipped
Ord-00046,94.73793637512983,168.0,1,1,0,115.0,,shipped
Ord-00047,93.11520147500283,168.0,1,1,0,115.0,,shipped
Ord-00048,106.82929565519389,168.0,1,1,0,115.0,,shipped
Ord-00049,90.61925556057308,168.0,1,1,0,91.0,,shipped
Ord-00050,108.88895495329925,168.0,1,1,0,115.0,,shipped
Ord-00051,102.73182584869564,168.0,1,1,0,115.0,,shipped
Ord-00052,104.84279279548966,168.0,1,1,0,115.0,,shipped
Ord-00053,103.30812285306058,168.0,1,1,0,115.0,,shipped
Ord-00054,108.66992247649794,168.0,1,1,0,115.0,,shipped
Ord-00055,107.79128134937608,168.0,1,1,0,115.0,,shipped
Ord-00056,106.6096914555756,168.0,1,1,0,115.0,,shipped
Ord-00057,111.6393357528526,168.0,1,1,0,115.0,,shipped
Ord-00058,107.20809725293975,168.0,1,1,0,115.0,,shipped
Ord-00059,109.15481618544413,168.0,1,1,0,115.0,,shipped
Ord-00060,105.57725335720437,168.0,1,1,0,115.0,,shipped
Ord-00061,137.8607943046507,168.0,1,1,0,139.0,,shipped
Ord-00062,137.01135692940932,168.0,1,1,0,139.0,,shipped
Ord-00063,131.59415426198845,168.0,1,1,0,139.0,,shipped
Ord-00064,132.02414821375746,168.0,1,1,0,139.0,,shipped
Ord-00065,133.16521502507155,168.0,1,1,0,139.0,,shipped
Ord-00066,141.4316404110475,168.0,1,1,0,163.0,,shipped
Ord-00067,137.53001527799523,168.0,1,1,0,139.0,,shipped
Ord-00068,133.52093032892986,168.0,1,1,0,139.0,,shipped
Ord-00069,133.11311242247388,168.0,1,1,0,139.0,,shipped
Ord-00070,138.65872282630346,168.0,1,1,0,139.0,,shipped
Ord-00071,142.46109951286223,168.0,1,1,0,163.0,,shipped
