event_id,event_type,sim_time,timestamp,order_id,item_id,job_id,product,stage,cycle_time,extra,machine_name
1,job_started,0,1760973483.661668,Ord-00001,Ord-00001_item_1,Job_Ord-00001_1,ProductA,,,,
2,job_started,0,1760973483.661668,Ord-00002,Ord-00002_item_1,Job_Ord-00002_1,ProductB,,,,
3,job_started,0,1760973483.661668,Ord-00003,Ord-00003_item_1,Job_Ord-00003_1,ProductA,,,,
4,job_started,0,1760973483.661668,Ord-00004,Ord-00004_item_1,Job_Ord-00004_1,ProductA,,,,
5,job_started,0,1760973483.661668,Ord-00005,Ord-00005_item_1,Job_Ord-00005_1,ProductA,,,,
6,job_started,0,1760973483.661668,Ord-00006,Ord-00006_item_1,Job_Ord-00006_1,ProductA,,,,
7,job_started,0,1760973483.661668,Ord-00007,Ord-00007_item_1,Job_Ord-00007_1,ProductB,,,,
8,job_started,0,1760973483.661668,Ord-00008,Ord-00008_item_1,Job_Ord-00008_1,ProductA,,,,
9,job_started,0,1760973483.661668,Ord-00009,Ord-00009_item_1,Job_Ord-00009_1,ProductA,,,,
10,job_started,0,1760973483.661668,Ord-00010,Ord-00010_item_1,Job_Ord-00010_1,ProductB,,,,
11,job_started,0,1760973483.661668,Ord-00011,Ord-00011_item_1,Job_Ord-00011_1,ProductB,,,,
12,job_started,0,1760973483.661668,Ord-00012,Ord-00012_item_1,Job_Ord-00012_1,ProductB,,,,
13,job_started,0,1760973483.661668,Ord-00013,Ord-00013_item_1,Job_Ord-00013_1,ProductA,,,,
14,job_started,0,1760973483.661668,Ord-00014,Ord-00014_item_1,Job_Ord-00014_1,ProductA,,,,
15,job_started,0,1760973483.661668,Ord-00015,Ord-00015_item_1,Job_Ord-00015_1,ProductB,,,,
16,job_started,0,1760973483.661668,Ord-00016,Ord-00016_item_1,Job_Ord-00016_1,ProductA,,,,
17,job_started,0,1760973483.661668,Ord-00017,Ord-00017_item_1,Job_Ord-00017_1,ProductA,,,,
18,job_started,0,1760973483.661668,Ord-00018,Ord-00018_item_1,Job_Ord-00018_1,ProductA,,,,
19,job_started,0,1760973483.661668,Ord-00019,Ord-00019_item_1,Job_Ord-00019_1,ProductA,,,,
20,job_started,0,1760973483.661668,Ord-00020,Ord-00020_item_1,Job_Ord-00020_1,ProductB,,,,
21,worker_wait_start,6.0499999999999865,1760973483.6781023,,,Job_Ord-00001_1,,Cutting,,,
22,worker_wait_start,6.0499999999999865,1760973483.6781023,,,Job_Ord-00002_1,,Routing,,,
23,worker_wait_start,6.0499999999999865,1760973483.6781023,,,Job_Ord-00003_1,,Cutting,,,
24,worker_wait_start,6.0499999999999865,1760973483.6781023,,,Job_Ord-00004_1,,Cutting,,,
25,worker_wait_start,6.0499999999999865,1760973483.6781023,,,Job_Ord-00005_1,,Cutting,,,
26,worker_wait_start,6.0499999999999865,1760973483.6781023,,,Job_Ord-00006_1,,Cutting,,,
27,worker_wait_start,6.0499999999999865,1760973483.6781023,,,Job_Ord-00007_1,,Routing,,,
28,worker_wait_start,6.0499999999999865,1760973483.6781023,,,Job_Ord-00008_1,,Cutting,,,
29,worker_wait_start,6.0499999999999865,1760973483.6781023,,,Job_Ord-00009_1,,Cutting,,,
