sim_time,co2_kg,hours,km,kwh,mode
9.903506134750558,0.02144,0.1,0.1,0.0776,forklift
10.557842120909214,0.02144,0.1,0.1,0.0776,forklift
10.567557416079248,0.02144,0.1,0.1,0.0776,forklift
10.817744188838494,0.02144,0.1,0.1,0.0776,forklift
10.836829320611793,0.02144,0.1,0.1,0.0776,forklift
10.875737516737209,0.02144,0.1,0.1,0.0776,forklift
10.877562439213273,0.02144,0.1,0.1,0.0776,forklift
10.98614108714482,0.02144,0.1,0.1,0.0776,forklift
11.02007205304932,0.02144,0.1,0.1,0.0776,forklift
11.096184489436935,0.02144,0.1,0.1,0.0776,forklift
11.110863632954288,0.02144,0.1,0.1,0.0776,forklift
11.116881319819557,0.02144,0.1,0.1,0.0776,forklift
11.16571489801074,0.02144,0.1,0.1,0.0776,forklift
11.171189808692652,0.02144,0.1,0.1,0.0776,forklift
11.17636223789199,0.02144,0.1,0.1,0.0776,forklift
11.210574605998703,0.02144,0.1,0.1,0.0776,forklift
11.332815024441466,0.02144,0.1,0.1,0.0776,forklift
11.365091996293067,0.02144,0.1,0.1,0.0776,forklift
11.498266553700901,0.02144,0.1,0.1,0.0776,forklift
11.986629727693094,0.02144,0.1,0.1,0.0776,forklift
15.330285465632619,0.02144,0.1,0.1,0.0776,forklift
15.421007697617046,0.02144,0.1,0.1,0.0776,forklift
16.17220205839491,0.02144,0.1,0.1,0.0776,forklift
16.470295364732888,0.02144,0.1,0.1,0.0776,forklift
16.875345112463847,0.02144,0.1,0.1,0.0776,forklift
17.47349675841883,0.02144,0.1,0.1,0.0776,forklift
17.614558604336224,0.02144,0.1,0.1,0.0776,forklift
17.64399406546649,0.02144,0.1,0.1,0.0776,forklift
17.93025576277526,0.02144,0.1,0.1,0.0776,forklift
18.530235362220413,0.02144,0.1,0.1,0.0776,forklift
18.679241440118883,0.02144,0.1,0.1,0.0776,forklift
18.79054139617229,0.02144,0.1,0.1,0.0776,forklift
18.79119449638416,0.02144,0.1,0.1,0.0776,forklift
18.793738863554253,0.02144,0.1,0.1,0.0776,forklift
18.89711922614395,0.02144,0.1,0.1,0.0776,forklift
18.90781634721873,0.02144,0.1,0.1,0.0776,forklift
19.050501057290422,0.02144,0.1,0.1,0.0776,forklift
19.276462081578835,0.02144,0.1,0.1,0.0776,forklift
19.590114796418717,0.02144,0.1,0.1,0.0776,forklift
19.742715658646727,0.02144,0.1,0.1,0.0776,forklift
21.911671019658048,0.02144,0.1,0.1,0.0776,forklift
30.506988636195526,0.02144,0.1,0.1,0.0776,forklift
31.157564957499467,0.02144,0.1,0.1,0.0776,forklift
32.12596537978482,0.02144,0.1,0.1,0.0776,forklift
32.72841310545436,0.02144,0.1,0.1,0.0776,forklift
32.899519750954205,0.02144,0.1,0.1,0.0776,forklift
