product,customer_satisfaction,defect_rate,escape_rate,fpy,produced,return_rate,returns,rework_rate,rty_proxy,scrap_rate,shipped_good,shipped_suspect
ProductA,100.0,0.016574585635359115,0.0,0.9834254143646409,181,0.0,0,0.0,0.9834254143646409,0.0,0,0
ProductB,100.0,0.00980392156862745,0.0,0.9901960784313726,102,0.0,0,0.0,0.9901960784313726,0.0,0,0
