sim_time,co2_kg,hours,km,kwh,mode
9.74897300230801,0.02144,0.1,0.1,0.0776,forklift
9.766617418640328,0.02144,0.1,0.1,0.0776,forklift
10.591917380810937,0.02144,0.1,0.1,0.0776,forklift
10.641549458997163,0.02144,0.1,0.1,0.0776,forklift
10.661620827989056,0.02144,0.1,0.1,0.0776,forklift
10.714859210484228,0.02144,0.1,0.1,0.0776,forklift
10.724004189085534,0.02144,0.1,0.1,0.0776,forklift
10.789998120840181,0.02144,0.1,0.1,0.0776,forklift
10.820426985266312,0.02144,0.1,0.1,0.0776,forklift
10.833584009709952,0.02144,0.1,0.1,0.0776,forklift
10.847145968010262,0.02144,0.1,0.1,0.0776,forklift
10.902945300660882,0.02144,0.1,0.1,0.0776,forklift
11.023589701604973,0.02144,0.1,0.1,0.0776,forklift
11.025747496354882,0.02144,0.1,0.1,0.0776,forklift
11.148902219546539,0.02144,0.1,0.1,0.0776,forklift
11.184240390201175,0.02144,0.1,0.1,0.0776,forklift
12.253905529271785,0.02144,0.1,0.1,0.0776,forklift
12.408974447291971,0.02144,0.1,0.1,0.0776,forklift
12.51421840495033,0.02144,0.1,0.1,0.0776,forklift
12.885888467140171,0.02144,0.1,0.1,0.0776,forklift
15.953924095191198,0.02144,0.1,0.1,0.0776,forklift
16.316186786300282,0.02144,0.1,0.1,0.0776,forklift
16.426960417480952,0.02144,0.1,0.1,0.0776,forklift
16.8483255318999,0.02144,0.1,0.1,0.0776,forklift
16.884461629544187,0.02144,0.1,0.1,0.0776,forklift
17.07011497271304,0.02144,0.1,0.1,0.0776,forklift
17.129229083089346,0.02144,0.1,0.1,0.0776,forklift
17.60101524380687,0.02144,0.1,0.1,0.0776,forklift
17.936393798325682,0.02144,0.1,0.1,0.0776,forklift
17.9438941431322,0.02144,0.1,0.1,0.0776,forklift
17.95635146167708,0.02144,0.1,0.1,0.0776,forklift
17.958706278664,0.02144,0.1,0.1,0.0776,forklift
18.538054409220553,0.02144,0.1,0.1,0.0776,forklift
18.586472202072997,0.02144,0.1,0.1,0.0776,forklift
18.658563535609428,0.02144,0.1,0.1,0.0776,forklift
18.696542319527943,0.02144,0.1,0.1,0.0776,forklift
18.812289603048352,0.02144,0.1,0.1,0.0776,forklift
18.935442033261328,0.02144,0.1,0.1,0.0776,forklift
19.726562689772496,0.02144,0.1,0.1,0.0776,forklift
19.885157639048217,0.02144,0.1,0.1,0.0776,forklift
30.498233758359774,0.02144,0.1,0.1,0.0776,forklift
30.536945703835716,0.02144,0.1,0.1,0.0776,forklift
31.166890578311403,0.02144,0.1,0.1,0.0776,forklift
31.46131121009198,0.02144,0.1,0.1,0.0776,forklift
32.89571880355872,0.02144,0.1,0.1,0.0776,forklift
33.01487275848564,0.02144,0.1,0.1,0.0776,forklift
33.11678727719808,0.02144,0.1,0.1,0.0776,forklift
33.18419122353217,0.02144,0.1,0.1,0.0776,forklift
