stage,machine,end,label,start
Assembling,Assembling_Machine1,16.203533207465917,breakdown,8.203533207465918
Assembling,Assembling_Machine1,200,idle,16.203533207465917
Assembling,Assembling_Machine2,157.18461167792245,breakdown,149.18461167792245
Assembling,Assembling_Machine2,200,idle,157.18461167792245
Assembling,Assembling_Machine3,63.82434181490775,breakdown,55.82434181490775
Assembling,Assembling_Machine3,134.4785519999805,idle,63.82434181490775
Assembling,Assembling_Machine3,142.4785519999805,breakdown,134.4785519999805
Assembling,Assembling_Machine3,200,idle,142.4785519999805
Cutting,Cutting_Machine1,6.0499999999999865,breakdown,5.431266828542664
Cutting,Cutting_Machine1,6.099999999999994,waiting_worker,6.0499999999999865
Cutting,Cutting_Machine1,6.7993006993006935,setup,6.099999999999994
Cutting,Cutting_Machine1,8.98993843807802,running,6.7993006993006935
Cutting,Cutting_Machine1,9.431266828542665,setup,8.98993843807802
Cutting,Cutting_Machine1,9.467148795849162,idle,9.431266828542665
Cutting,Cutting_Machine1,9.903506134750558,setup,9.467148795849162
Cutting,Cutting_Machine1,10.557842120909214,idle,9.903506134750558
Cutting,Cutting_Machine1,10.500641813885316,calendar_off,10.00064181388531
Cutting,Cutting_Machine1,10.501029132038571,calendar_off,10.001029132038564
Cutting,Cutting_Machine1,10.501042945443386,calendar_off,10.001042945443379
Cutting,Cutting_Machine1,10.501126050640018,calendar_off,10.00112605064001
Cutting,Cutting_Machine1,10.501368467982001,calendar_off,10.001368467981994
Cutting,Cutting_Machine1,10.501606842644367,calendar_off,10.00160684264436
Cutting,Cutting_Machine1,10.50201259541723,calendar_off,10.002012595417224
Cutting,Cutting_Machine1,10.502565462515836,calendar_off,10.002565462515829
Cutting,Cutting_Machine1,10.502597108234525,calendar_off,10.002597108234518
Cutting,Cutting_Machine1,10.50295978654307,calendar_off,10.002959786543062
Cutting,Cutting_Machine1,10.503181739085015,calendar_off,10.003181739085008
Cutting,Cutting_Machine1,10.503706352712198,calendar_off,10.003706352712191
Cutting,Cutting_Machine1,10.503807476994847,calendar_off,10.00380747699484
Cutting,Cutting_Machine1,10.503943484623594,calendar_off,10.003943484623587
Cutting,Cutting_Machine1,10.503976438633897,calendar_off,10.00397643863389
Cutting,Cutting_Machine1,11.110863632954288,idle,10.557842120909214
Cutting,Cutting_Machine1,11.116881319819557,waiting_worker,11.110863632954288
Cutting,Cutting_Machine1,11.17636223789199,idle,11.116881319819557
Cutting,Cutting_Machine1,11.199999999999976,waiting_worker,11.17636223789199
Cutting,Cutting_Machine1,11.210574605998703,setup,11.199999999999976
Cutting,Cutting_Machine1,11.498266553700901,idle,11.210574605998703
Cutting,Cutting_Machine1,11.499999999999975,waiting_worker,11.498266553700901
Cutting,Cutting_Machine1,11.986629727693094,setup,11.499999999999975
Cutting,Cutting_Machine1,11.999999999999973,waiting_worker,11.986629727693094
Cutting,Cutting_Machine1,12.434060057589445,setup,11.999999999999973
Cutting,Cutting_Machine1,14.345131400798225,running,12.434060057589445
Cutting,Cutting_Machine1,15.330285465632619,setup,14.345131400798225
Cutting,Cutting_Machine1,15.74613549917963,idle,15.330285465632619
Cutting,Cutting_Machine1,16.17220205839491,setup,15.74613549917963
Cutting,Cutting_Machine1,30.506988636195526,idle,16.17220205839491
Cutting,Cutting_Machine1,30.600000000000165,waiting_worker,30.506988636195526
Cutting,Cutting_Machine1,31.157564957499467,setup,30.600000000000165
Cutting,Cutting_Machine1,31.200000000000173,waiting_worker,31.157564957499467
Cutting,Cutting_Machine1,32.36470588235311,setup,31.200000000000173
Cutting,Cutting_Machine1,33.08593310357741,running,32.36470588235311
Cutting,Cutting_Machine1,33.1000000000002,waiting_worker,33.08593310357741
Cutting,Cutting_Machine1,33.377798328950625,running,33.1000000000002
Cutting,Cutting_Machine1,33.400000000000205,waiting_worker,33.377798328950625
Cutting,Cutting_Machine1,33.50364332690695,running,33.400000000000205
Cutting,Cutting_Machine1,33.60000000000021,waiting_worker,33.50364332690695
Cutting,Cutting_Machine1,35.200881613245315,running,33.60000000000021
Cutting,Cutting_Machine1,34.50026041666681,calendar_off,34.00026041666684
Cutting,Cutting_Machine1,34.50168504901975,calendar_off,34.00168504901978
Cutting,Cutting_Machine1,34.501822916666846,calendar_off,34.001822916666875
Cutting,Cutting_Machine1,34.50260416666684,calendar_off,34.00260416666687
Cutting,Cutting_Machine1,34.50260416666685,calendar_off,34.00260416666688
Cutting,Cutting_Machine1,35.30000000000023,waiting_worker,35.200881613245315
Cutting,Cutting_Machine1,35.32882659298592,running,35.30000000000023
Cutting,Cutting_Machine1,35.40000000000023,waiting_worker,35.32882659298592
Cutting,Cutting_Machine1,35.57519657316324,running,35.40000000000023
Cutting,Cutting_Machine1,35.600000000000236,waiting_worker,35.57519657316324
Cutting,Cutting_Machine1,36.36509641030606,running,35.600000000000236
Cutting,Cutting_Machine1,36.37636317484354,waiting_worker,36.36509641030606
Cutting,Cutting_Machine1,36.50000000000025,setup,36.37636317484354
Cutting,Cutting_Machine1,36.817924251855295,running,36.50000000000025
Cutting,Cutting_Machine1,36.843848570860246,waiting_worker,36.817924251855295
Cutting,Cutting_Machine1,36.85929804754688,setup,36.843848570860246
Cutting,Cutting_Machine1,36.94741511367736,waiting_worker,36.85929804754688
Cutting,Cutting_Machine1,37.000000000000256,setup,36.94741511367736
Cutting,Cutting_Machine1,37.84722439211093,running,37.000000000000256
Cutting,Cutting_Machine1,37.90000000000027,waiting_worker,37.84722439211093
Cutting,Cutting_Machine1,38.122749267003606,running,37.90000000000027
Cutting,Cutting_Machine1,38.1235932788413,waiting_worker,38.122749267003606
Cutting,Cutting_Machine1,38.20000000000027,idle,38.1235932788413
Cutting,Cutting_Machine1,38.27021268978325,running,38.20000000000027
Cutting,Cutting_Machine1,38.42051711124497,idle,38.27021268978325
Cutting,Cutting_Machine1,38.50000000000028,waiting_worker,38.42051711124497
Cutting,Cutting_Machine1,38.61925529147322,running,38.50000000000028
Cutting,Cutting_Machine1,38.64576544249032,setup,38.61925529147322
Cutting,Cutting_Machine1,39.54867587405711,idle,38.64576544249032
Cutting,Cutting_Machine1,40.66268267944509,setup,39.54867587405711
Cutting,Cutting_Machine1,40.70000000000031,waiting_worker,40.66268267944509
Cutting,Cutting_Machine1,40.84190746062984,running,40.70000000000031
Cutting,Cutting_Machine1,41.04928825286194,idle,40.84190746062984
Cutting,Cutting_Machine1,41.100000000000314,waiting_worker,41.04928825286194
Cutting,Cutting_Machine1,41.281233127761496,running,41.100000000000314
Cutting,Cutting_Machine1,41.432276129497005,idle,41.281233127761496
Cutting,Cutting_Machine1,41.74817686036352,setup,41.432276129497005
Cutting,Cutting_Machine1,41.800000000000324,waiting_worker,41.74817686036352
Cutting,Cutting_Machine1,42.560728281980495,running,41.800000000000324
Cutting,Cutting_Machine1,42.50026041666692,calendar_off,42.00026041666695
Cutting,Cutting_Machine1,42.50065163243307,calendar_off,42.0006516324331
Cutting,Cutting_Machine1,42.501041666666914,calendar_off,42.00104166666694
Cutting,Cutting_Machine1,42.50104166666695,calendar_off,42.00104166666698
Cutting,Cutting_Machine1,42.50173734500595,calendar_off,42.00173734500598
Cutting,Cutting_Machine1,42.50182291666691,calendar_off,42.00182291666694
Cutting,Cutting_Machine1,42.502604166666956,calendar_off,42.002604166666984
Cutting,Cutting_Machine1,42.50284904616365,calendar_off,42.002849046163675
Cutting,Cutting_Machine1,42.503206254714854,calendar_off,42.00320625471488
Cutting,Cutting_Machine1,42.503385416666966,calendar_off,42.003385416666994
Cutting,Cutting_Machine1,42.79595280590018,idle,42.560728281980495
Cutting,Cutting_Machine1,42.80000000000034,waiting_worker,42.79595280590018
Cutting,Cutting_Machine1,42.812586997996256,running,42.80000000000034
Cutting,Cutting_Machine1,43.62958387621158,idle,42.812586997996256
Cutting,Cutting_Machine1,44.346430521639356,setup,43.62958387621158
Cutting,Cutting_Machine1,44.40000000000036,waiting_worker,44.346430521639356
Cutting,Cutting_Machine1,44.49753210259463,running,44.40000000000036
Cutting,Cutting_Machine1,45.10006754676381,setup,44.49753210259463
Cutting,Cutting_Machine1,45.286841069059484,idle,45.10006754676381
Cutting,Cutting_Machine1,45.300000000000374,waiting_worker,45.286841069059484
Cutting,Cutting_Machine1,45.683068673605646,running,45.300000000000374
Cutting,Cutting_Machine1,54.1213939253271,idle,45.683068673605646
Cutting,Cutting_Machine1,54.001627326989365,calendar_off,46.00162732698982
Cutting,Cutting_Machine1,54.00169876926085,calendar_off,46.0016987692613
Cutting,Cutting_Machine1,54.001822916666576,calendar_off,46.00182291666703
Cutting,Cutting_Machine1,54.003227672550814,calendar_off,46.00322767255127
Cutting,Cutting_Machine1,54.00338541666655,calendar_off,46.00338541666701
Cutting,Cutting_Machine1,54.00338541666659,calendar_off,46.003385416667044
Cutting,Cutting_Machine1,54.50911385633228,idle,54.1213939253271
