order_id,completion_time,due_time,items_completed,items_total,release_time,shipped_time,start_time,status
Ord-00001,35.200881613245315,168.0,1,1,0,43.0,,shipped
Ord-00002,21.911671019658048,168.0,1,1,0,43.0,,shipped
Ord-00003,30.506988636195526,168.0,1,1,0,43.0,,shipped
Ord-00004,33.50364332690695,168.0,1,1,0,43.0,,shipped
Ord-00005,32.12596537978482,168.0,1,1,0,43.0,,shipped
Ord-00006,37.84722439211093,168.0,1,1,0,43.0,,shipped
Ord-00007,36.85929804754688,168.0,1,1,0,43.0,,shipped
Ord-00008,33.3820723353027,168.0,1,1,0,43.0,,shipped
Ord-00009,32.72841310545436,168.0,1,1,0,43.0,,shipped
Ord-00010,31.157564957499467,168.0,1,1,0,43.0,,shipped
Ord-00011,32.899519750954205,168.0,1,1,0,43.0,,shipped
Ord-00012,36.50209277612943,168.0,1,1,0,43.0,,shipped
Ord-00013,38.122749267003606,168.0,1,1,0,43.0,,shipped
Ord-00014,35.57519657316324,168.0,1,1,0,43.0,,shipped
Ord-00015,35.32882659298592,168.0,1,1,0,43.0,,shipped
Ord-00016,33.377798328950625,168.0,1,1,0,43.0,,shipped
Ord-00017,33.08593310357741,168.0,1,1,0,43.0,,shipped
Ord-00018,38.42051711124497,168.0,1,1,0,43.0,,shipped
Ord-00019,35.63865105897536,168.0,1,1,0,43.0,,shipped
Ord-00020,36.36509641030606,168.0,1,1,0,43.0,,shipped
Ord-00021,60.54918700848568,168.0,1,1,0,67.0,,shipped
Ord-00022,67.71633967106246,168.0,1,1,0,91.0,,shipped
Ord-00023,65.83004286232847,168.0,1,1,0,67.0,,shipped
Ord-00024,61.2405275241141,168.0,1,1,0,67.0,,shipped
Ord-00025,63.12373256107126,168.0,1,1,0,67.0,,shipped
Ord-00026,63.42029241662711,168.0,1,1,0,67.0,,shipped
Ord-00027,80.4853790549663,168.0,1,1,0,91.0,,shipped
Ord-00028,78.62515970229363,168.0,1,1,0,91.0,,shipped
Ord-00029,60.73385074123992,168.0,1,1,0,67.0,,shipped
Ord-00030,65.25862496299402,168.0,1,1,0,67.0,,shipped
Ord-00031,65.58212223313129,168.0,1,1,0,67.0,,shipped
Ord-00032,63.705617509855315,168.0,1,1,0,67.0,,shipped
Ord-00033,67.1214191180638,168.0,1,1,0,91.0,,shipped
Ord-00034,64.22006277728322,168.0,1,1,0,67.0,,shipped
Ord-00035,81.18756928053034,168.0,1,1,0,91.0,,shipped
Ord-00036,66.69756411290263,168.0,1,1,0,67.0,,shipped
Ord-00037,81.67570725463023,168.0,1,1,0,91.0,,shipped
Ord-00038,81.94855988489819,168.0,1,1,0,91.0,,shipped
Ord-00039,79.25078143932556,168.0,1,1,0,91.0,,shipped
Ord-00040,78.88479619776197,168.0,1,1,0,91.0,,shipped
Ord-00041,104.60715726562053,168.0,1,1,0,115.0,,shipped
Ord-00042,93.43777493722449,168.0,1,1,0,115.0,,shipped
Ord-00043,105.13393003865748,168.0,1,1,0,115.0,,shipped
Ord-00044,104.12224344837595,168.0,1,1,0,115.0,,shipped
Ord-00045,103.85484480219765,168.0,1,1,0,115.0,,shipped
Ord-00046,102.29688798662693,168.0,1,1,0,115.0,,shipped
Ord-00047,111.16695537262763,168.0,1,1,0,115.0,,shipped
Ord-00048,104.72372565047974,168.0,1,1,0,115.0,,shipped
Ord-00049,105.34210471470179,168.0,1,1,0,115.0,,shipped
Ord-00050,106.90212365199754,168.0,1,1,0,115.0,,shipped
Ord-00051,105.47812658912223,168.0,1,1,0,115.0,,shipped
Ord-00052,107.5634226762623,168.0,1,1,0,115.0,,shipped
