event_id,event_type,sim_time,timestamp,order_id,item_id,job_id,product,stage,cycle_time,extra,machine_name
1783,stage_exit,184.2050114393411,1760938616.751082,,,Job_Ord-00096_1,ProductA,Cutting,,{'stage_flow_time': 5.2050114393469755},Cutting_Machine1
1784,worker_released,184.2050114393411,1760938616.751082,,,Job_Ord-00096_1,,Cutting,,{'worker_id': 'W011'},
1785,worker_wait_start,184.2050114393411,1760938616.751082,,,Job_Ord-00096_1,,Routing,,,
1786,worker_wait_end,184.29999999999382,1760938616.752508,,,Job_Ord-00096_1,,Routing,,{'worker_id': 'W012'},
1787,material_wait_end,184.29999999999382,1760938616.752508,,,Job_Ord-00096_1,,Routing,,,
1788,stage_queued,184.29999999999382,1760938616.753024,,,Job_Ord-00096_1,,Routing,,,Routing_Machine1
1789,stage_exit,185.0162651273008,1760938616.7567067,,,Job_Ord-00090_1,ProductA,Cutting,,{'stage_flow_time': 8.716265127306542},Cutting_Machine1
1790,worker_released,185.0162651273008,1760938616.7567067,,,Job_Ord-00090_1,,Cutting,,{'worker_id': 'W002'},
1791,worker_wait_start,185.0162651273008,1760938616.7567067,,,Job_Ord-00090_1,,Routing,,,
1792,worker_wait_end,185.09999999999377,1760938616.7567067,,,Job_Ord-00090_1,,Routing,,{'worker_id': 'W011'},
1793,material_wait_end,185.09999999999377,1760938616.757934,,,Job_Ord-00090_1,,Routing,,,
1794,stage_queued,185.09999999999377,1760938616.757934,,,Job_Ord-00090_1,,Routing,,,Routing_Machine1
1795,stage_exit,185.66907706719985,1760938616.7602618,,,Job_Ord-00091_1,ProductA,Cutting,,{'stage_flow_time': 9.169077067205592},Cutting_Machine1
1796,worker_released,185.66907706719985,1760938616.7602618,,,Job_Ord-00091_1,,Cutting,,{'worker_id': 'W016'},
1797,worker_wait_start,185.66907706719985,1760938616.7602618,,,Job_Ord-00091_1,,Routing,,,
1798,worker_wait_end,185.69999999999374,1760938616.7602618,,,Job_Ord-00091_1,,Routing,,{'worker_id': 'W002'},
