event_id,event_type,sim_time,timestamp,order_id,item_id,job_id,product,stage,cycle_time,extra,machine_name
1109,worker_wait_start,91.479844878719,1760938603.3131118,,,Job_Ord-00048_1,,Painting,,,
1110,worker_wait_end,91.49999999999908,1760938603.3131118,,,Job_Ord-00064_1,,Routing,,{'worker_id': 'W006'},
1111,material_wait_end,91.49999999999908,1760938603.3131118,,,Job_Ord-00064_1,,Routing,,,
1112,stage_queued,91.49999999999908,1760938603.313934,,,Job_Ord-00064_1,,Routing,,,Routing_Machine1
1113,worker_wait_end,91.49999999999908,1760938603.313934,,,Job_Ord-00060_1,,Painting,,{'worker_id': 'W016'},
1114,material_wait_end,91.49999999999908,1760938603.313934,,,Job_Ord-00060_1,,Painting,,,
1115,stage_queued,91.49999999999908,1760938603.313934,,,Job_Ord-00060_1,,Painting,,,Painting_Machine1
1116,worker_wait_end,91.49999999999908,1760938603.313934,,,Job_Ord-00048_1,,Painting,,{'worker_id': 'W016'},
1117,material_wait_end,91.49999999999908,1760938603.3148384,,,Job_Ord-00048_1,,Painting,,,
1118,stage_queued,91.49999999999908,1760938603.3148384,,,Job_Ord-00048_1,,Painting,,,Painting_Machine1
1119,stage_exit,91.53976532677295,1760938603.3161108,,,Job_Ord-00047_1,ProductA,Routing,,{'stage_flow_time': 8.639765326773386},Routing_Machine1
1120,worker_released,91.53976532677295,1760938603.3161108,,,Job_Ord-00047_1,,Routing,,{'worker_id': 'W007'},
1121,worker_wait_start,91.53976532677295,1760938603.3161108,,,Job_Ord-00047_1,,Painting,,,
1122,worker_wait_end,91.59999999999907,1760938603.3161108,,,Job_Ord-00047_1,,Painting,,{'worker_id': 'W002'},
1123,material_wait_end,91.59999999999907,1760938603.3161108,,,Job_Ord-00047_1,,Painting,,,
1124,stage_queued,91.59999999999907,1760938603.317365,,,Job_Ord-00047_1,,Painting,,,Painting_Machine1
1125,stage_exit,91.81690117988191,1760938603.3186176,,,Job_Ord-00052_1,ProductA,Routing,,{'stage_flow_time': 10.116901179882277},Routing_Machine1
1126,worker_released,91.81690117988191,1760938603.3186176,,,Job_Ord-00052_1,,Routing,,{'worker_id': 'W003'},
1127,worker_wait_start,91.81690117988191,1760938603.3186176,,,Job_Ord-00052_1,,Painting,,,
1128,worker_wait_end,91.89999999999905,1760938603.3198526,,,Job_Ord-00052_1,,Painting,,{'worker_id': 'W008'},
1129,material_wait_end,91.89999999999905,1760938603.3198526,,,Job_Ord-00052_1,,Painting,,,
1130,stage_queued,91.89999999999905,1760938603.3198526,,,Job_Ord-00052_1,,Painting,,,Painting_Machine1
1131,stage_exit,92.16272135939974,1760938603.3231955,,,Job_Ord-00054_1,ProductA,Routing,,{'stage_flow_time': 7.3627213594002825},Routing_Machine1
1132,worker_released,92.16272135939974,1760938603.3231955,,,Job_Ord-00054_1,,Routing,,{'worker_id': 'W011'},
1133,worker_wait_start,92.16272135939974,1760938603.3231955,,,Job_Ord-00054_1,,Painting,,,
1134,worker_wait_end,92.19999999999904,1760938603.3237002,,,Job_Ord-00054_1,,Painting,,{'worker_id': 'W015'},
1135,material_wait_end,92.19999999999904,1760938603.3240442,,,Job_Ord-00054_1,,Painting,,,
1136,stage_queued,92.19999999999904,1760938603.3240442,,,Job_Ord-00054_1,,Painting,,,Painting_Machine1
1137,stage_exit,92.44888436106281,1760938603.3252697,,,Job_Ord-00055_1,ProductA,Routing,,{'stage_flow_time': 9.148884361063267},Routing_Machine1
1138,worker_released,92.44888436106281,1760938603.3252697,,,Job_Ord-00055_1,,Routing,,{'worker_id': 'W002'},
1139,worker_wait_start,92.44888436106281,1760938603.3252697,,,Job_Ord-00055_1,,Painting,,,
1140,worker_wait_end,92.49999999999902,1760938603.326511,,,Job_Ord-00055_1,,Painting,,{'worker_id': 'W003'},
1141,material_wait_end,92.49999999999902,1760938603.326511,,,Job_Ord-00055_1,,Painting,,,
1142,stage_queued,92.49999999999902,1760938603.326511,,,Job_Ord-00055_1,,Painting,,,Painting_Machine1
1143,stage_exit,92.50487883562673,1760938603.3277502,,,Job_Ord-00051_1,ProductA,Routing,,{'stage_flow_time': 9.604878835627161},Routing_Machine1
1144,worker_released,92.50487883562673,1760938603.3277502,,,Job_Ord-00051_1,,Routing,,{'worker_id': 'W007'},
