sim_time,co2_kg,hours,km,kwh,mode
9.771805116032526,0.02144,0.1,0.1,0.0776,forklift
9.804335234216072,0.02144,0.1,0.1,0.0776,forklift
9.811013730142509,0.02144,0.1,0.1,0.0776,forklift
9.974867268904301,0.02144,0.1,0.1,0.0776,forklift
10.51797152451525,0.02144,0.1,0.1,0.0776,forklift
10.56712068273452,0.02144,0.1,0.1,0.0776,forklift
10.725506404849792,0.02144,0.1,0.1,0.0776,forklift
10.768282119185557,0.02144,0.1,0.1,0.0776,forklift
10.797113726797779,0.02144,0.1,0.1,0.0776,forklift
10.820049563565748,0.02144,0.1,0.1,0.0776,forklift
10.868271835131669,0.02144,0.1,0.1,0.0776,forklift
11.002767627021708,0.02144,0.1,0.1,0.0776,forklift
11.041462108286634,0.02144,0.1,0.1,0.0776,forklift
11.0612453863012,0.02144,0.1,0.1,0.0776,forklift
11.147780629787643,0.02144,0.1,0.1,0.0776,forklift
11.195920446550565,0.02144,0.1,0.1,0.0776,forklift
11.239033934647297,0.02144,0.1,0.1,0.0776,forklift
11.292806491852554,0.02144,0.1,0.1,0.0776,forklift
11.299224283745135,0.02144,0.1,0.1,0.0776,forklift
11.691104743921315,0.02144,0.1,0.1,0.0776,forklift
15.343495823511146,0.02144,0.1,0.1,0.0776,forklift
15.546324699338868,0.02144,0.1,0.1,0.0776,forklift
15.76304385334024,0.02144,0.1,0.1,0.0776,forklift
16.19656484328569,0.02144,0.1,0.1,0.0776,forklift
16.284532757319877,0.02144,0.1,0.1,0.0776,forklift
17.51039070121431,0.02144,0.1,0.1,0.0776,forklift
17.672686238111922,0.02144,0.1,0.1,0.0776,forklift
17.82723407038914,0.02144,0.1,0.1,0.0776,forklift
18.511896202987618,0.02144,0.1,0.1,0.0776,forklift
18.53322609982607,0.02144,0.1,0.1,0.0776,forklift
18.5752538982507,0.02144,0.1,0.1,0.0776,forklift
18.602484104454,0.02144,0.1,0.1,0.0776,forklift
18.76963452789283,0.02144,0.1,0.1,0.0776,forklift
18.811244494630433,0.02144,0.1,0.1,0.0776,forklift
18.896505784165846,0.02144,0.1,0.1,0.0776,forklift
18.96974533874132,0.02144,0.1,0.1,0.0776,forklift
19.057354862447127,0.02144,0.1,0.1,0.0776,forklift
19.162329055641827,0.02144,0.1,0.1,0.0776,forklift
19.17258865273285,0.02144,0.1,0.1,0.0776,forklift
20.007765629230043,0.02144,0.1,0.1,0.0776,forklift
21.6850654029382,0.02144,0.1,0.1,0.0776,forklift
30.484116153328976,0.02144,0.1,0.1,0.0776,forklift
30.493105644489155,0.02144,0.1,0.1,0.0776,forklift
31.86100433233685,0.02144,0.1,0.1,0.0776,forklift
32.83863997023064,0.02144,0.1,0.1,0.0776,forklift
33.14642180010104,0.02144,0.1,0.1,0.0776,forklift
33.33266379196707,0.02144,0.1,0.1,0.0776,forklift
33.40262105327983,0.02144,0.1,0.1,0.0776,forklift
33.858952338874374,0.02144,0.1,0.1,0.0776,forklift
34.520265307280184,0.02144,0.1,0.1,0.0776,forklift
35.1003898934636,0.02144,0.1,0.1,0.0776,forklift
35.44626480603391,0.02144,0.1,0.1,0.0776,forklift
35.54264357397999,0.02144,0.1,0.1,0.0776,forklift
35.73642664950924,0.02144,0.1,0.1,0.0776,forklift
36.08144173391968,0.02144,0.1,0.1,0.0776,forklift
36.12999197868804,0.02144,0.1,0.1,0.0776,forklift
36.337435821999634,0.02144,0.1,0.1,0.0776,forklift
36.401213139254935,0.02144,0.1,0.1,0.0776,forklift
36.78064578899523,0.02144,0.1,0.1,0.0776,forklift
36.78295621171751,0.02144,0.1,0.1,0.0776,forklift
36.896329198584866,0.02144,0.1,0.1,0.0776,forklift
37.40262946813498,0.02144,0.1,0.1,0.0776,forklift
38.047102299200176,0.02144,0.1,0.1,0.0776,forklift
38.55731838046318,0.02144,0.1,0.1,0.0776,forklift
38.563189245496254,0.02144,0.1,0.1,0.0776,forklift
39.84235393610445,0.02144,0.1,0.1,0.0776,forklift
40.096076930705586,0.02144,0.1,0.1,0.0776,forklift
40.37126246877036,0.02144,0.1,0.1,0.0776,forklift
40.39781248151415,0.02144,0.1,0.1,0.0776,forklift
40.61711179019573,0.02144,0.1,0.1,0.0776,forklift
40.88545333295403,0.02144,0.1,0.1,0.0776,forklift
41.143202395140094,0.02144,0.1,0.1,0.0776,forklift
41.453826050220755,0.02144,0.1,0.1,0.0776,forklift
41.59932824671263,0.02144,0.1,0.1,0.0776,forklift
42.62088167738808,0.02144,0.1,0.1,0.0776,forklift
43.7080756070002,0.02144,0.1,0.1,0.0776,forklift
43.96468031639239,0.02144,0.1,0.1,0.0776,forklift
