stage,machine,end,label,start
Cutting,Cutting_Machine1,41.85325668153534,idle,41.57434780592053
Cutting,Cutting_Machine1,42.82536249174751,setup,41.85325668153534
Cutting,Cutting_Machine1,42.50026041666691,calendar_off,42.00026041666694
Cutting,Cutting_Machine1,42.500260416666954,calendar_off,42.00026041666698
Cutting,Cutting_Machine1,42.50182291666696,calendar_off,42.00182291666699
Cutting,Cutting_Machine1,42.50182447760599,calendar_off,42.00182447760602
Cutting,Cutting_Machine1,42.50195459820198,calendar_off,42.00195459820201
Cutting,Cutting_Machine1,42.502254000948305,calendar_off,42.002254000948334
Cutting,Cutting_Machine1,42.50268936820549,calendar_off,42.002689368205516
Cutting,Cutting_Machine1,42.50324660750053,calendar_off,42.00324660750056
Cutting,Cutting_Machine1,42.503632127193235,calendar_off,42.003632127193264
Cutting,Cutting_Machine1,43.013751877844065,idle,42.82536249174751
Cutting,Cutting_Machine1,43.10000000000034,waiting_worker,43.013751877844065
Cutting,Cutting_Machine1,43.42346905464485,running,43.10000000000034
Cutting,Cutting_Machine1,43.54709982064557,setup,43.42346905464485
Cutting,Cutting_Machine1,43.81969676862578,idle,43.54709982064557
Cutting,Cutting_Machine1,43.99153661093046,setup,43.81969676862578
Cutting,Cutting_Machine1,44.15410080394287,idle,43.99153661093046
Cutting,Cutting_Machine1,44.20000000000036,waiting_worker,44.15410080394287
Cutting,Cutting_Machine1,44.86809912120077,running,44.20000000000036
Cutting,Cutting_Machine1,45.20921593857457,setup,44.86809912120077
Cutting,Cutting_Machine1,45.77062831324111,idle,45.20921593857457
Cutting,Cutting_Machine1,45.84691121275188,setup,45.77062831324111
Cutting,Cutting_Machine1,54.20673554732428,idle,45.84691121275188
Cutting,Cutting_Machine1,54.00104166666657,calendar_off,46.00104166666703
Cutting,Cutting_Machine1,54.00135747990733,calendar_off,46.00135747990778
Cutting,Cutting_Machine1,54.00160539248614,calendar_off,46.001605392486596
Cutting,Cutting_Machine1,54.00329551343838,calendar_off,46.003295513438836
Cutting,Cutting_Machine1,54.00394192618336,calendar_off,46.00394192618381
Cutting,Cutting_Machine1,55.03204305414695,idle,54.20673554732428
Cutting,Cutting_Machine1,55.503110119940274,setup,55.03204305414695
Cutting,Cutting_Machine1,63.21476259009923,idle,55.503110119940274
Cutting,Cutting_Machine1,63.30000000000063,waiting_worker,63.21476259009923
Cutting,Cutting_Machine1,64.54511790314065,setup,63.30000000000063
Cutting,Cutting_Machine1,64.8000000000006,waiting_worker,64.54511790314065
Cutting,Cutting_Machine1,65.47951050199596,setup,64.8000000000006
Cutting,Cutting_Machine1,65.50000000000055,waiting_worker,65.47951050199596
Cutting,Cutting_Machine1,65.5346024586996,setup,65.50000000000055
Cutting,Cutting_Machine1,65.60000000000055,waiting_worker,65.5346024586996
Cutting,Cutting_Machine1,65.6947500339727,setup,65.60000000000055
Cutting,Cutting_Machine1,65.80000000000054,waiting_worker,65.6947500339727
Cutting,Cutting_Machine1,65.81748251748314,setup,65.80000000000054
Cutting,Cutting_Machine1,66.60360439603178,running,65.81748251748314
Cutting,Cutting_Machine1,66.50026041666719,calendar_off,66.00026041666722
Cutting,Cutting_Machine1,66.50133668414978,calendar_off,66.0013366841498
Cutting,Cutting_Machine1,66.50260416666718,calendar_off,66.00260416666721
Cutting,Cutting_Machine1,66.50338541666717,calendar_off,66.0033854166672
Cutting,Cutting_Machine1,66.50338541666723,calendar_off,66.00338541666726
Cutting,Cutting_Machine1,66.50338541666723,calendar_off,66.00338541666726
Cutting,Cutting_Machine1,66.70000000000049,waiting_worker,66.60360439603178
Cutting,Cutting_Machine1,67.55120530777819,running,66.70000000000049
Cutting,Cutting_Machine1,67.60000000000043,waiting_worker,67.55120530777819
Cutting,Cutting_Machine1,68.08099324939307,running,67.60000000000043
Cutting,Cutting_Machine1,68.1000000000004,waiting_worker,68.08099324939307
Cutting,Cutting_Machine1,68.3018444533067,running,68.1000000000004
Cutting,Cutting_Machine1,68.50000000000038,waiting_worker,68.3018444533067
Cutting,Cutting_Machine1,68.93561365892596,running,68.50000000000038
Cutting,Cutting_Machine1,69.00000000000036,waiting_worker,68.93561365892596
Cutting,Cutting_Machine1,69.09887813724758,setup,69.00000000000036
Cutting,Cutting_Machine1,69.30000000000034,waiting_worker,69.09887813724758
