stage,machine,co2_kg,end,hours,kwh,start,state
Assembling,Assembling_Machine2,5.6,195.14413089851428,8.0,8.0,187.14413089851428,breakdown
Assembling,Assembling_Machine2,8.497770927600016,200,4.855869101485723,12.139672753714308,195.14413089851428,idle
Assembling,Assembling_Machine4,5.6,196.48795711724483,8.0,8.0,188.48795711724483,breakdown
Assembling,Assembling_Machine4,6.1460750448215435,200,3.5120428827551677,8.78010720688792,196.48795711724483,idle
Cutting,Cutting_Machine1,0.10500000000001641,6.099999999999994,0.050000000000007816,0.15000000000002345,6.0499999999999865,waiting_worker
Cutting,Cutting_Machine1,4.895104895104894,6.7993006993006935,0.6993006993006992,6.993006993006992,6.099999999999994,setup
Cutting,Cutting_Machine1,22.397455058891907,8.932391657290399,2.1330909579897055,31.996364369845583,6.7993006993006935,running
Cutting,Cutting_Machine1,5.050977711507574,9.653959901791481,0.721568244501082,7.21568244501082,8.932391657290399,setup
Cutting,Cutting_Machine1,2.4611618329888763,10.53294627071608,0.8789863689245987,3.5159454756983948,9.653959901791481,idle
Cutting,Cutting_Machine1,0.017500000000000248,10.50037159845583,0.5000000000000071,0.025000000000000355,10.000371598455823,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.500388849175494,0.5000000000000071,0.025000000000000355,10.000388849175486,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.500619744852676,0.5000000000000071,0.025000000000000355,10.000619744852669,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.500687961804125,0.5000000000000071,0.025000000000000355,10.000687961804118,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.501549799985652,0.5000000000000071,0.025000000000000355,10.001549799985645,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.501643010471703,0.5000000000000071,0.025000000000000355,10.001643010471696,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.502015803773215,0.5000000000000071,0.025000000000000355,10.002015803773208,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.502146789991464,0.5000000000000071,0.025000000000000355,10.002146789991457,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.502198605787168,0.5000000000000071,0.025000000000000355,10.00219860578716,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.502304115087943,0.5000000000000071,0.025000000000000355,10.002304115087936,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.502327357526891,0.5000000000000071,0.025000000000000355,10.002327357526884,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.503625273912522,0.5000000000000071,0.025000000000000355,10.003625273912515,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.504021213599799,0.5000000000000071,0.025000000000000355,10.004021213599792,calendar_off
Cutting,Cutting_Machine1,2.44429239982096,11.405907842080708,0.8729615713646286,3.4918462854585144,10.53294627071608,idle
Cutting,Cutting_Machine1,0.19759353163046034,11.499999999999975,0.09409215791926684,0.2822764737578005,11.405907842080708,waiting_worker
Cutting,Cutting_Machine1,0.9905526319130952,11.641507518844703,0.1415075188447279,1.415075188447279,11.499999999999975,setup
Cutting,Cutting_Machine1,0.12283421042606991,11.699999999999974,0.05849248115527139,0.17547744346581418,11.641507518844703,waiting_worker
Cutting,Cutting_Machine1,0.5064543469769713,11.772350620996685,0.07235062099671019,0.7235062099671019,11.699999999999974,setup
Cutting,Cutting_Machine1,0.058063695906907846,11.799999999999974,0.027649379003289454,0.08294813700986836,11.772350620996685,waiting_worker
Cutting,Cutting_Machine1,0.07814271943494155,11.811163245633537,0.01116324563356308,0.11163245633563079,11.799999999999974,setup
Cutting,Cutting_Machine1,0.18655718416951678,11.899999999999974,0.08883675436643657,0.2665102630993097,11.811163245633537,waiting_worker
Cutting,Cutting_Machine1,5.688621205384216,12.712660172197719,0.8126601721977451,8.126601721977451,11.899999999999974,setup
Cutting,Cutting_Machine1,17.118408486309534,14.342984789941484,1.6303246177437654,24.45486926615648,12.712660172197719,running
Cutting,Cutting_Machine1,9.173559820829425,15.65349333577426,1.310508545832775,13.10508545832775,14.342984789941484,setup
Cutting,Cutting_Machine1,41.77885063602923,30.574511420070415,14.921018084296156,59.684072337184624,15.65349333577426,idle
Cutting,Cutting_Machine1,0.05352601785247443,30.600000000000165,0.025488579929749733,0.0764657397892492,30.574511420070415,waiting_worker
Cutting,Cutting_Machine1,1.182489040459295,30.768927005780064,0.16892700577989928,1.6892700577989928,30.600000000000165,setup
Cutting,Cutting_Machine1,0.06525328786221749,30.800000000000168,0.031072994220103567,0.0932189826603107,30.768927005780064,waiting_worker
Cutting,Cutting_Machine1,10.952941176470574,32.36470588235311,1.5647058823529392,15.647058823529392,30.800000000000168,setup
Cutting,Cutting_Machine1,16.758978766782413,33.960799098237146,1.5960932158840393,23.94139823826059,32.36470588235311,running
Cutting,Cutting_Machine1,0.08232189370244071,34.00000000000021,0.03920090176306701,0.11760270528920103,33.960799098237146,waiting_worker
Cutting,Cutting_Machine1,0.017499999999999002,34.500000000000185,0.4999999999999716,0.02499999999999858,34.00000000000021,calendar_off
Cutting,Cutting_Machine1,6.322818100725147,34.60217315245023,0.602173152450014,9.03259728675021,34.00000000000021,running
Cutting,Cutting_Machine1,0.017499999999999002,34.50168504901975,0.4999999999999716,0.02499999999999858,34.00168504901978,calendar_off
Cutting,Cutting_Machine1,0.017499999999999002,34.502604166666806,0.4999999999999716,0.02499999999999858,34.002604166666835,calendar_off
Cutting,Cutting_Machine1,0.20543637985499144,34.70000000000022,0.09782684754999593,0.2934805426499878,34.60217315245023,waiting_worker
