product,customer_satisfaction,defect_rate,escape_rate,fpy,produced,return_rate,returns,rework_rate,rty_proxy,scrap_rate,shipped_good,shipped_suspect
ProductA,100.0,0.009615384615384616,0.0,0.9903846153846154,416,0.0,0,0.0,0.9903846153846154,0.0,0,0
ProductB,100.0,0.013605442176870748,0.0,0.9863945578231292,294,0.0,0,0.0,0.9863945578231292,0.0,0,0
