stage,machine,co2_kg,end,hours,kwh,start,state
Assembling,Assembling_Machine1,5.6,130.93928154753104,8.0,8.0,122.93928154753104,breakdown
Assembling,Assembling_Machine1,120.85625729182067,200,69.06071845246896,172.6517961311724,130.93928154753104,idle
Assembling,Assembling_Machine2,5.6,41.844640378950146,8.0,8.0,33.844640378950146,breakdown
Assembling,Assembling_Machine2,140.5805701502035,122.176394750495,80.33175437154486,200.82938592886217,41.844640378950146,idle
Assembling,Assembling_Machine2,5.6,130.176394750495,8.0,8.0,122.176394750495,breakdown
Assembling,Assembling_Machine2,122.19130918663375,200,69.823605249505,174.5590131237625,130.176394750495,idle
Assembling,Assembling_Machine4,5.6,142.57906090327722,8.0,8.0,134.57906090327722,breakdown
Assembling,Assembling_Machine4,100.48664341926487,200,57.420939096722776,143.55234774180695,142.57906090327722,idle
Cutting,Cutting_Machine1,0.10500000000001641,6.099999999999994,0.050000000000007816,0.15000000000002345,6.0499999999999865,waiting_worker
Cutting,Cutting_Machine1,4.895104895104894,6.7993006993006935,0.6993006993006992,6.993006993006992,6.099999999999994,setup
Cutting,Cutting_Machine1,22.050083108945376,8.899308614438349,2.100007915137655,31.500118727064827,6.7993006993006935,running
Cutting,Cutting_Machine1,7.158707605104449,9.92198112945327,1.0226725150149214,10.226725150149214,8.899308614438349,setup
Cutting,Cutting_Machine1,1.702799828163799,10.530123925226055,0.6081427957727854,2.4325711830911416,9.92198112945327,idle
Cutting,Cutting_Machine1,0.017500000000000248,10.500981721356665,0.5000000000000071,0.025000000000000355,10.000981721356657,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.501166038541587,0.5000000000000071,0.025000000000000355,10.00116603854158,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.501478586921204,0.5000000000000071,0.025000000000000355,10.001478586921197,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.501767408046618,0.5000000000000071,0.025000000000000355,10.00176740804661,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.501775330174668,0.5000000000000071,0.025000000000000355,10.001775330174661,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.501959738384976,0.5000000000000071,0.025000000000000355,10.001959738384969,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.50197926898969,0.5000000000000071,0.025000000000000355,10.001979268989682,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.502430195627552,0.5000000000000071,0.025000000000000355,10.002430195627545,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.502601556802258,0.5000000000000071,0.025000000000000355,10.00260155680225,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.503489003759539,0.5000000000000071,0.025000000000000355,10.003489003759531,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.503506117069294,0.5000000000000071,0.025000000000000355,10.003506117069287,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.503962094259744,0.5000000000000071,0.025000000000000355,10.003962094259737,calendar_off
Cutting,Cutting_Machine1,0.017500000000000248,10.503981159624727,0.5000000000000071,0.025000000000000355,10.00398115962472,calendar_off
Cutting,Cutting_Machine1,0.1816229493272118,10.594989264271488,0.06486533904543279,0.25946135618173116,10.530123925226055,idle
Cutting,Cutting_Machine1,0.010522545029829189,10.599999999999978,0.00501073572849009,0.01503220718547027,10.594989264271488,waiting_worker
Cutting,Cutting_Machine1,0.243777291458338,10.63482532735117,0.03482532735119115,0.3482532735119115,10.599999999999978,setup
Cutting,Cutting_Machine1,0.5738615484317918,10.839775880362524,0.20495055301135423,0.8198022120454169,10.63482532735117,idle
Cutting,Cutting_Machine1,0.051722400806370666,10.864405595032224,0.02462971466970032,0.07388914400910096,10.839775880362524,waiting_worker
Cutting,Cutting_Machine1,0.09966433390970905,10.899999999999977,0.035594404967753235,0.14237761987101294,10.864405595032224,idle
Cutting,Cutting_Machine1,2.8406528518426715,11.305807550263216,0.4058075502632388,4.058075502632388,10.899999999999977,setup
Cutting,Cutting_Machine1,1.0716343599886222,11.68853410740201,0.38272655713879367,1.5309062285551747,11.305807550263216,idle
Cutting,Cutting_Machine1,9.87791671756984,12.6292880805039,0.9407539731018897,14.111309596528345,11.68853410740201,running
Cutting,Cutting_Machine1,0.1484950309417501,12.69999999999997,0.07071191949607147,0.21213575848821442,12.6292880805039,waiting_worker
Cutting,Cutting_Machine1,5.972574796008327,13.26881664723886,0.5688166472388883,8.532249708583324,12.69999999999997,running
Cutting,Cutting_Machine1,5.2849554526314115,14.02381028332906,0.7549936360902016,7.5499363609020165,13.26881664723886,setup
Cutting,Cutting_Machine1,0.8225411873368024,14.317574993092204,0.2937647097631437,1.175058839052575,14.02381028332906,idle
Cutting,Cutting_Machine1,4.34111902185046,14.937734853356556,0.6201598602643514,6.201598602643514,14.317574993092204,setup
