product,customer_satisfaction,defect_rate,escape_rate,fpy,produced,return_rate,returns,rework_rate,rty_proxy,scrap_rate,shipped_good,shipped_suspect
ProductA,100.0,0.005649717514124294,0.0,0.9943502824858758,177,0.0,0,0.0,0.9943502824858758,0.0,0,0
ProductB,100.0,0.020202020202020204,0.0,0.9797979797979798,99,0.0,0,0.0,0.9797979797979798,0.0,0,0
