product,stage,type,material,quantity,remaining_stock,time
ProductB,Routing,consumption,Routing_Bits,-0.15,145.00000000000009,62.300000000000615
ProductB,Cutting,consumption,Steel_Sheet,-1.5,74.0,62.80000000000062
ProductB,Routing,consumption,Routing_Bits,-0.15,144.85000000000008,63.000000000000625
ProductA,Painting,consumption,Paint,-1,109.80000000000004,63.000000000000625
ProductA,Painting,consumption,Paint,-1,108.80000000000004,63.700000000000635
ProductA,Painting,consumption,Paint,-1,107.80000000000004,63.700000000000635
ProductA,Cutting,consumption,Steel_Sheet,-2,72.0,64.6000000000006
ProductB,Routing,consumption,Routing_Bits,-0.15,144.70000000000007,65.10000000000058
ProductA,Cutting,consumption,Steel_Sheet,-2,70.0,66.70000000000049
ProductB,Painting,consumption,Paint,-1.2,106.60000000000004,66.70000000000049
ProductA,Cutting,consumption,Steel_Sheet,-2,68.0,66.70000000000049
ProductA,Cutting,consumption,Steel_Sheet,-2,66.0,67.10000000000046
ProductA,Cutting,consumption,Steel_Sheet,-2,64.0,67.10000000000046
ProductA,Cutting,consumption,Steel_Sheet,-2,62.0,67.20000000000046
ProductA,Cutting,consumption,Steel_Sheet,-2,60.0,67.40000000000045
ProductB,Routing,consumption,Routing_Bits,-0.15,144.55000000000007,67.50000000000044
ProductA,Cutting,consumption,Steel_Sheet,-2,58.0,67.80000000000042
ProductA,Cutting,consumption,Steel_Sheet,-2,56.0,69.30000000000034
ProductA,Cutting,consumption,Steel_Sheet,-2,54.0,70.0000000000003
ProductA,Cutting,consumption,Steel_Sheet,-2,52.0,78.49999999999982
ProductB,Cutting,consumption,Steel_Sheet,-1.5,50.5,79.89999999999974
ProductB,Cutting,consumption,Steel_Sheet,-1.5,49.0,80.19999999999972
ProductB,Cutting,consumption,Steel_Sheet,-1.5,47.5,80.29999999999971
ProductA,Routing,consumption,Routing_Bits,-0.1,144.45000000000007,80.5999999999997
ProductB,Cutting,consumption,Steel_Sheet,-1.5,46.0,80.5999999999997
ProductA,Routing,consumption,Routing_Bits,-0.1,144.35000000000008,80.99999999999967
ProductA,Routing,consumption,Routing_Bits,-0.1,144.25000000000009,81.29999999999966
ProductA,Routing,consumption,Routing_Bits,-0.1,144.1500000000001,81.29999999999966
ProductB,Routing,consumption,Routing_Bits,-0.15,144.00000000000009,81.39999999999965
ProductA,Routing,consumption,Routing_Bits,-0.1,143.9000000000001,81.69999999999963
ProductA,Routing,consumption,Routing_Bits,-0.1,143.8000000000001,81.89999999999962
ProductA,Routing,consumption,Routing_Bits,-0.1,143.7000000000001,82.59999999999958
ProductA,Routing,consumption,Routing_Bits,-0.1,143.6000000000001,82.69999999999958
ProductA,Cutting,consumption,Steel_Sheet,-2,44.0,83.29999999999954
ProductA,Routing,consumption,Routing_Bits,-0.1,143.5000000000001,83.49999999999953
ProductB,Routing,consumption,Routing_Bits,-0.15,143.3500000000001,83.69999999999952
ProductB,Cutting,consumption,Steel_Sheet,-1.5,42.5,84.0999999999995
ProductA,Routing,consumption,Routing_Bits,-0.1,143.2500000000001,84.29999999999949
ProductA,Routing,consumption,Routing_Bits,-0.1,143.15000000000012,84.79999999999946
ProductB,Routing,consumption,Routing_Bits,-0.15,143.0000000000001,84.99999999999945
ProductB,Painting,consumption,Paint,-1.2,105.40000000000003,86.19999999999938
ProductB,Painting,consumption,Paint,-1.2,104.20000000000003,86.39999999999937
ProductB,Painting,consumption,Paint,-1.2,103.00000000000003,86.39999999999937
ProductB,Painting,consumption,Paint,-1.2,101.80000000000003,86.79999999999934
ProductB,Painting,consumption,Paint,-1.2,100.60000000000002,87.4999999999993
ProductA,Painting,consumption,Paint,-1,99.60000000000002,89.79999999999917
ProductB,Cutting,consumption,Steel_Sheet,-1.5,167.0,90.59999999999913
ProductA,Painting,consumption,Paint,-1,98.60000000000002,90.89999999999911
ProductA,Painting,consumption,Paint,-1,97.60000000000002,90.9999999999991
ProductA,Painting,consumption,Paint,-1,96.60000000000002,91.39999999999908
ProductA,Painting,consumption,Paint,-1,95.60000000000002,91.79999999999906
ProductA,Painting,consumption,Paint,-1,94.60000000000002,91.79999999999906
ProductA,Painting,consumption,Paint,-1,93.60000000000002,91.79999999999906
ProductA,Painting,consumption,Paint,-1,92.60000000000002,91.99999999999905
ProductA,Painting,consumption,Paint,-1,91.60000000000002,92.29999999999903
ProductA,Routing,consumption,Routing_Bits,-0.1,142.90000000000012,92.39999999999903
ProductA,Cutting,consumption,Steel_Sheet,-2,165.0,92.69999999999901
ProductA,Painting,consumption,Paint,-1,90.60000000000002,92.899999999999
ProductA,Painting,consumption,Paint,-1,89.60000000000002,93.09999999999899
ProductA,Cutting,consumption,Steel_Sheet,-2,163.0,93.49999999999896
ProductB,Routing,consumption,Routing_Bits,-0.15,142.7500000000001,93.99999999999893
ProductB,Cutting,consumption,Steel_Sheet,-1.5,161.5,102.89999999999843
ProductB,Routing,consumption,Routing_Bits,-0.15,142.6000000000001,103.3999999999984
ProductB,Routing,consumption,Routing_Bits,-0.15,142.4500000000001,103.69999999999838
ProductB,Cutting,consumption,Steel_Sheet,-1.5,160.0,104.29999999999835
ProductB,Painting,consumption,Paint,-1.2,88.40000000000002,104.49999999999834
ProductB,Painting,consumption,Paint,-1.2,87.20000000000002,106.7999999999982
ProductB,Routing,consumption,Routing_Bits,-0.15,142.3000000000001,106.8999999999982
ProductA,Cutting,consumption,Steel_Sheet,-2,158.0,108.89999999999809
ProductA,Cutting,consumption,Steel_Sheet,-2,156.0,109.09999999999808
ProductA,Cutting,consumption,Steel_Sheet,-2,154.0,109.09999999999808
ProductB,Routing,consumption,Routing_Bits,-0.15,142.1500000000001,109.29999999999806
ProductB,Routing,consumption,Routing_Bits,-0.15,142.00000000000009,109.59999999999805
ProductB,Cutting,consumption,Steel_Sheet,-1.5,152.5,109.59999999999805
ProductA,Cutting,consumption,Steel_Sheet,-2,150.5,109.59999999999805
ProductA,Routing,consumption,Routing_Bits,-0.1,141.9000000000001,109.79999999999804
ProductA,Routing,consumption,Routing_Bits,-0.1,141.8000000000001,110.09999999999802
ProductA,Cutting,consumption,Steel_Sheet,-2,148.5,110.29999999999801
ProductA,Cutting,consumption,Steel_Sheet,-2,146.5,111.29999999999795
ProductA,Cutting,consumption,Steel_Sheet,-2,144.5,111.39999999999795
