product,stage,type,material,quantity,remaining_stock,time
ProductA,Cutting,consumption,Steel_Sheet,-2,148,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.85,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.7,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,146,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,144,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,142,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,140,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,138,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,136,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,134,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.54999999999998,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,132,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,130,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,128,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,126,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.39999999999998,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,124,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,122,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,120,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,118,6.099999999999994
ProductA,Routing,consumption,Routing_Bits,-0.1,149.29999999999998,9.99999999999998
ProductA,Routing,consumption,Routing_Bits,-0.1,149.2,9.99999999999998
ProductB,Cutting,consumption,Steel_Sheet,-1.5,116.5,10.599999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,149.1,10.599999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,149.0,10.599999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.9,10.699999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.8,10.699999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.70000000000002,10.699999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.60000000000002,10.799999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.50000000000003,10.799999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.40000000000003,10.799999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.30000000000004,10.899999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,148.20000000000005,10.999999999999977
ProductB,Cutting,consumption,Steel_Sheet,-1.5,115.0,10.999999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,148.10000000000005,10.999999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,148.00000000000006,11.099999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,147.90000000000006,11.099999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,147.80000000000007,11.099999999999977
ProductB,Cutting,consumption,Steel_Sheet,-1.5,113.5,11.199999999999976
ProductB,Cutting,consumption,Steel_Sheet,-1.5,112.0,12.79999999999997
ProductB,Painting,consumption,Paint,-1.2,148.8,14.899999999999963
ProductB,Painting,consumption,Paint,-1.2,147.60000000000002,14.999999999999963
ProductB,Painting,consumption,Paint,-1.2,146.40000000000003,16.29999999999996
ProductA,Painting,consumption,Paint,-1,145.40000000000003,16.399999999999963
ProductA,Painting,consumption,Paint,-1,144.40000000000003,16.599999999999966
ProductB,Painting,consumption,Paint,-1.2,143.20000000000005,16.79999999999997
ProductA,Painting,consumption,Paint,-1,142.20000000000005,17.899999999999984
ProductA,Painting,consumption,Paint,-1,141.20000000000005,17.999999999999986
ProductA,Painting,consumption,Paint,-1,140.20000000000005,17.999999999999986
ProductA,Painting,consumption,Paint,-1,139.20000000000005,18.599999999999994
ProductA,Painting,consumption,Paint,-1,138.20000000000005,18.799999999999997
ProductA,Painting,consumption,Paint,-1,137.20000000000005,18.799999999999997
ProductA,Painting,consumption,Paint,-1,136.20000000000005,18.799999999999997
ProductA,Painting,consumption,Paint,-1,135.20000000000005,19.0
ProductA,Painting,consumption,Paint,-1,134.20000000000005,19.0
ProductA,Painting,consumption,Paint,-1,133.20000000000005,19.0
ProductA,Painting,consumption,Paint,-1,132.20000000000005,19.1
ProductA,Painting,consumption,Paint,-1,131.20000000000005,19.200000000000003
ProductA,Painting,consumption,Paint,-1,130.20000000000005,19.400000000000006
ProductA,Painting,consumption,Paint,-1,129.20000000000005,19.900000000000013
ProductB,Routing,consumption,Routing_Bits,-0.15,147.65000000000006,21.300000000000033
ProductA,Cutting,consumption,Steel_Sheet,-2,110.0,21.80000000000004
ProductA,Cutting,consumption,Steel_Sheet,-2,108.0,30.800000000000168
ProductB,Routing,consumption,Routing_Bits,-0.15,147.50000000000006,32.60000000000019
ProductB,Routing,consumption,Routing_Bits,-0.15,147.35000000000005,32.9000000000002
ProductB,Routing,consumption,Routing_Bits,-0.15,147.20000000000005,33.400000000000205
ProductA,Cutting,consumption,Steel_Sheet,-2,106.0,33.90000000000021
ProductA,Cutting,consumption,Steel_Sheet,-2,104.0,34.60000000000022
ProductB,Routing,consumption,Routing_Bits,-0.15,147.05000000000004,34.70000000000022
ProductA,Cutting,consumption,Steel_Sheet,-2,102.0,35.00000000000023
ProductA,Cutting,consumption,Steel_Sheet,-2,100.0,35.00000000000023
ProductA,Cutting,consumption,Steel_Sheet,-2,98.0,35.00000000000023
ProductA,Cutting,consumption,Steel_Sheet,-2,96.0,35.40000000000023
ProductB,Routing,consumption,Routing_Bits,-0.15,146.90000000000003,36.40000000000025
ProductA,Cutting,consumption,Steel_Sheet,-2,94.0,37.10000000000026
ProductB,Routing,consumption,Routing_Bits,-0.15,146.75000000000003,37.20000000000026
ProductA,Cutting,consumption,Steel_Sheet,-2,92.0,37.50000000000026
ProductA,Cutting,consumption,Steel_Sheet,-2,90.0,37.50000000000026
ProductA,Routing,consumption,Routing_Bits,-0.1,146.65000000000003,38.00000000000027
ProductA,Routing,consumption,Routing_Bits,-0.1,146.55000000000004,38.20000000000027
ProductA,Cutting,consumption,Steel_Sheet,-2,88.0,38.20000000000027
ProductA,Routing,consumption,Routing_Bits,-0.1,146.45000000000005,38.20000000000027
ProductB,Cutting,consumption,Steel_Sheet,-1.5,86.5,38.300000000000274
ProductB,Cutting,consumption,Steel_Sheet,-1.5,85.0,38.50000000000028
ProductA,Cutting,consumption,Steel_Sheet,-2,83.0,38.70000000000028
ProductA,Routing,consumption,Routing_Bits,-0.1,146.35000000000005,38.70000000000028
ProductA,Routing,consumption,Routing_Bits,-0.1,146.25000000000006,38.70000000000028
ProductB,Cutting,consumption,Steel_Sheet,-1.5,81.5,39.000000000000284
ProductA,Routing,consumption,Routing_Bits,-0.1,146.15000000000006,39.20000000000029
ProductB,Cutting,consumption,Steel_Sheet,-1.5,80.0,39.20000000000029
ProductA,Routing,consumption,Routing_Bits,-0.1,146.05000000000007,39.40000000000029
ProductB,Cutting,consumption,Steel_Sheet,-1.5,78.5,40.3000000000003
ProductA,Routing,consumption,Routing_Bits,-0.1,145.95000000000007,41.800000000000324
ProductA,Routing,consumption,Routing_Bits,-0.1,145.85000000000008,42.00000000000033
ProductA,Routing,consumption,Routing_Bits,-0.1,145.75000000000009,42.80000000000034
ProductA,Routing,consumption,Routing_Bits,-0.1,145.6500000000001,43.300000000000345
ProductB,Cutting,consumption,Steel_Sheet,-1.5,77.0,43.80000000000035
ProductB,Painting,consumption,Paint,-1.2,128.00000000000006,44.20000000000036
ProductB,Painting,consumption,Paint,-1.2,126.80000000000005,44.30000000000036
ProductB,Cutting,consumption,Steel_Sheet,-1.5,75.5,44.40000000000036
ProductA,Routing,consumption,Routing_Bits,-0.1,145.5500000000001,44.600000000000364
ProductB,Painting,consumption,Paint,-1.2,125.60000000000005,45.00000000000037
ProductB,Painting,consumption,Paint,-1.2,124.40000000000005,45.60000000000038
ProductA,Routing,consumption,Routing_Bits,-0.1,145.4500000000001,54.80000000000051
ProductB,Painting,consumption,Paint,-1.2,123.20000000000005,54.90000000000051
ProductB,Painting,consumption,Paint,-1.2,122.00000000000004,55.10000000000051
ProductA,Painting,consumption,Paint,-1,121.00000000000004,55.200000000000514
ProductB,Painting,consumption,Paint,-1.2,119.80000000000004,56.000000000000526
ProductA,Painting,consumption,Paint,-1,118.80000000000004,56.30000000000053
ProductA,Painting,consumption,Paint,-1,117.80000000000004,56.700000000000536
ProductA,Painting,consumption,Paint,-1,116.80000000000004,56.90000000000054
ProductA,Painting,consumption,Paint,-1,115.80000000000004,57.20000000000054
ProductA,Painting,consumption,Paint,-1,114.80000000000004,57.60000000000055
ProductA,Painting,consumption,Paint,-1,113.80000000000004,57.90000000000055
ProductB,Routing,consumption,Routing_Bits,-0.15,145.3000000000001,57.90000000000055
ProductA,Painting,consumption,Paint,-1,112.80000000000004,58.000000000000554
ProductA,Painting,consumption,Paint,-1,111.80000000000004,58.000000000000554
