event_id,event_type,sim_time,timestamp,order_id,item_id,job_id,product,stage,cycle_time,extra,machine_name
1,job_started,0,1760938629.7492156,Ord-00001,Ord-00001_item_1,Job_Ord-00001_1,ProductA,,,,
2,job_started,0,1760938629.7492156,Ord-00002,Ord-00002_item_1,Job_Ord-00002_1,ProductB,,,,
3,job_started,0,1760938629.7492156,Ord-00003,Ord-00003_item_1,Job_Ord-00003_1,ProductB,,,,
4,job_started,0,1760938629.7504287,Ord-00004,Ord-00004_item_1,Job_Ord-00004_1,ProductA,,,,
5,job_started,0,1760938629.7518244,Ord-00005,Ord-00005_item_1,Job_Ord-00005_1,ProductA,,,,
6,job_started,0,1760938629.7518244,Ord-00006,Ord-00006_item_1,Job_Ord-00006_1,ProductA,,,,
7,job_started,0,1760938629.7530944,Ord-00007,Ord-00007_item_1,Job_Ord-00007_1,ProductA,,,,
8,job_started,0,1760938629.7543895,Ord-00008,Ord-00008_item_1,Job_Ord-00008_1,ProductA,,,,
9,job_started,0,1760938629.7543895,Ord-00009,Ord-00009_item_1,Job_Ord-00009_1,ProductA,,,,
10,job_started,0,1760938629.7543895,Ord-00010,Ord-00010_item_1,Job_Ord-00010_1,ProductA,,,,
11,job_started,0,1760938629.7557065,Ord-00011,Ord-00011_item_1,Job_Ord-00011_1,ProductB,,,,
12,job_started,0,1760938629.7557065,Ord-00012,Ord-00012_item_1,Job_Ord-00012_1,ProductA,,,,
13,job_started,0,1760938629.7567372,Ord-00013,Ord-00013_item_1,Job_Ord-00013_1,ProductA,,,,
14,job_started,0,1760938629.7569697,Ord-00014,Ord-00014_item_1,Job_Ord-00014_1,ProductA,,,,
15,job_started,0,1760938629.7581763,Ord-00015,Ord-00015_item_1,Job_Ord-00015_1,ProductA,,,,
16,job_started,0,1760938629.7592077,Ord-00016,Ord-00016_item_1,Job_Ord-00016_1,ProductB,,,,
17,job_started,0,1760938629.7594213,Ord-00017,Ord-00017_item_1,Job_Ord-00017_1,ProductA,,,,
18,job_started,0,1760938629.7608876,Ord-00018,Ord-00018_item_1,Job_Ord-00018_1,ProductA,,,,
19,job_started,0,1760938629.7608876,Ord-00019,Ord-00019_item_1,Job_Ord-00019_1,ProductA,,,,
20,job_started,0,1760938629.7622154,Ord-00020,Ord-00020_item_1,Job_Ord-00020_1,ProductA,,,,
21,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00001_1,,Cutting,,,
22,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00002_1,,Routing,,,
23,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00003_1,,Routing,,,
24,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00004_1,,Cutting,,,
25,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00005_1,,Cutting,,,
26,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00006_1,,Cutting,,,
27,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00007_1,,Cutting,,,
28,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00008_1,,Cutting,,,
29,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00009_1,,Cutting,,,
30,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00010_1,,Cutting,,,
31,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00011_1,,Routing,,,
32,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00012_1,,Cutting,,,
33,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00013_1,,Cutting,,,
34,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00014_1,,Cutting,,,
35,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00015_1,,Cutting,,,
36,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00016_1,,Routing,,,
37,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00017_1,,Cutting,,,
38,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00018_1,,Cutting,,,
39,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00019_1,,Cutting,,,
40,worker_wait_start,6.0499999999999865,1760938629.7675316,,,Job_Ord-00020_1,,Cutting,,,
41,worker_wait_end,6.099999999999994,1760938629.7712152,,,Job_Ord-00001_1,,Cutting,,{'worker_id': 'W001'},
42,material_wait_end,6.099999999999994,1760938629.7712152,,,Job_Ord-00001_1,,Cutting,,,
43,stage_queued,6.099999999999994,1760938629.7712152,,,Job_Ord-00001_1,,Cutting,,,Cutting_Machine1
44,worker_wait_end,6.099999999999994,1760938629.7712152,,,Job_Ord-00002_1,,Routing,,{'worker_id': 'W001'},
45,material_wait_end,6.099999999999994,1760938629.7712152,,,Job_Ord-00002_1,,Routing,,,
46,stage_queued,6.099999999999994,1760938629.7712152,,,Job_Ord-00002_1,,Routing,,,Routing_Machine1
47,worker_wait_end,6.099999999999994,1760938629.7712152,,,Job_Ord-00003_1,,Routing,,{'worker_id': 'W001'},
48,material_wait_end,6.099999999999994,1760938629.7712152,,,Job_Ord-00003_1,,Routing,,,
49,stage_queued,6.099999999999994,1760938629.7712152,,,Job_Ord-00003_1,,Routing,,,Routing_Machine1
50,worker_wait_end,6.099999999999994,1760938629.7712152,,,Job_Ord-00004_1,,Cutting,,{'worker_id': 'W001'},
51,material_wait_end,6.099999999999994,1760938629.7712152,,,Job_Ord-00004_1,,Cutting,,,
52,stage_queued,6.099999999999994,1760938629.772221,,,Job_Ord-00004_1,,Cutting,,,Cutting_Machine1
53,worker_wait_end,6.099999999999994,1760938629.772221,,,Job_Ord-00005_1,,Cutting,,{'worker_id': 'W001'},
54,material_wait_end,6.099999999999994,1760938629.7724545,,,Job_Ord-00005_1,,Cutting,,,
55,stage_queued,6.099999999999994,1760938629.7724545,,,Job_Ord-00005_1,,Cutting,,,Cutting_Machine1
56,worker_wait_end,6.099999999999994,1760938629.7724545,,,Job_Ord-00006_1,,Cutting,,{'worker_id': 'W001'},
57,material_wait_end,6.099999999999994,1760938629.7724545,,,Job_Ord-00006_1,,Cutting,,,
58,stage_queued,6.099999999999994,1760938629.7724545,,,Job_Ord-00006_1,,Cutting,,,Cutting_Machine1
59,worker_wait_end,6.099999999999994,1760938629.7724545,,,Job_Ord-00007_1,,Cutting,,{'worker_id': 'W001'},
60,material_wait_end,6.099999999999994,1760938629.7724545,,,Job_Ord-00007_1,,Cutting,,,
61,stage_queued,6.099999999999994,1760938629.7724545,,,Job_Ord-00007_1,,Cutting,,,Cutting_Machine1
62,worker_wait_end,6.099999999999994,1760938629.7724545,,,Job_Ord-00008_1,,Cutting,,{'worker_id': 'W001'},
63,material_wait_end,6.099999999999994,1760938629.7724545,,,Job_Ord-00008_1,,Cutting,,,
64,stage_queued,6.099999999999994,1760938629.7724545,,,Job_Ord-00008_1,,Cutting,,,Cutting_Machine1
65,worker_wait_end,6.099999999999994,1760938629.7724545,,,Job_Ord-00009_1,,Cutting,,{'worker_id': 'W001'},
66,material_wait_end,6.099999999999994,1760938629.7734582,,,Job_Ord-00009_1,,Cutting,,,
67,stage_queued,6.099999999999994,1760938629.773659,,,Job_Ord-00009_1,,Cutting,,,Cutting_Machine1
68,worker_wait_end,6.099999999999994,1760938629.773659,,,Job_Ord-00010_1,,Cutting,,{'worker_id': 'W001'},
69,material_wait_end,6.099999999999994,1760938629.773659,,,Job_Ord-00010_1,,Cutting,,,
70,stage_queued,6.099999999999994,1760938629.773659,,,Job_Ord-00010_1,,Cutting,,,Cutting_Machine1
71,worker_wait_end,6.099999999999994,1760938629.773659,,,Job_Ord-00011_1,,Routing,,{'worker_id': 'W001'},
72,material_wait_end,6.099999999999994,1760938629.773659,,,Job_Ord-00011_1,,Routing,,,
73,stage_queued,6.099999999999994,1760938629.773659,,,Job_Ord-00011_1,,Routing,,,Routing_Machine1
74,worker_wait_end,6.099999999999994,1760938629.773659,,,Job_Ord-00012_1,,Cutting,,{'worker_id': 'W001'},
75,material_wait_end,6.099999999999994,1760938629.7746825,,,Job_Ord-00012_1,,Cutting,,,
76,stage_queued,6.099999999999994,1760938629.7749443,,,Job_Ord-00012_1,,Cutting,,,Cutting_Machine1
77,worker_wait_end,6.099999999999994,1760938629.7749443,,,Job_Ord-00013_1,,Cutting,,{'worker_id': 'W001'},
78,material_wait_end,6.099999999999994,1760938629.7749443,,,Job_Ord-00013_1,,Cutting,,,
79,stage_queued,6.099999999999994,1760938629.7749443,,,Job_Ord-00013_1,,Cutting,,,Cutting_Machine1
80,worker_wait_end,6.099999999999994,1760938629.7749443,,,Job_Ord-00014_1,,Cutting,,{'worker_id': 'W001'},
81,material_wait_end,6.099999999999994,1760938629.7749443,,,Job_Ord-00014_1,,Cutting,,,
82,stage_queued,6.099999999999994,1760938629.7749443,,,Job_Ord-00014_1,,Cutting,,,Cutting_Machine1
83,worker_wait_end,6.099999999999994,1760938629.7749443,,,Job_Ord-00015_1,,Cutting,,{'worker_id': 'W001'},
84,material_wait_end,6.099999999999994,1760938629.7749443,,,Job_Ord-00015_1,,Cutting,,,
85,stage_queued,6.099999999999994,1760938629.7759662,,,Job_Ord-00015_1,,Cutting,,,Cutting_Machine1
86,worker_wait_end,6.099999999999994,1760938629.7759662,,,Job_Ord-00016_1,,Routing,,{'worker_id': 'W001'},
87,material_wait_end,6.099999999999994,1760938629.7761662,,,Job_Ord-00016_1,,Routing,,,
88,stage_queued,6.099999999999994,1760938629.7761662,,,Job_Ord-00016_1,,Routing,,,Routing_Machine1
89,worker_wait_end,6.099999999999994,1760938629.7761662,,,Job_Ord-00017_1,,Cutting,,{'worker_id': 'W001'},
90,material_wait_end,6.099999999999994,1760938629.7761662,,,Job_Ord-00017_1,,Cutting,,,
91,stage_queued,6.099999999999994,1760938629.7761662,,,Job_Ord-00017_1,,Cutting,,,Cutting_Machine1
92,worker_wait_end,6.099999999999994,1760938629.7761662,,,Job_Ord-00018_1,,Cutting,,{'worker_id': 'W001'},
93,material_wait_end,6.099999999999994,1760938629.7761662,,,Job_Ord-00018_1,,Cutting,,,
94,stage_queued,6.099999999999994,1760938629.7761662,,,Job_Ord-00018_1,,Cutting,,,Cutting_Machine1
95,worker_wait_end,6.099999999999994,1760938629.777188,,,Job_Ord-00019_1,,Cutting,,{'worker_id': 'W001'},
96,material_wait_end,6.099999999999994,1760938629.777188,,,Job_Ord-00019_1,,Cutting,,,
97,stage_queued,6.099999999999994,1760938629.7773933,,,Job_Ord-00019_1,,Cutting,,,Cutting_Machine1
98,worker_wait_end,6.099999999999994,1760938629.7773933,,,Job_Ord-00020_1,,Cutting,,{'worker_id': 'W001'},
99,material_wait_end,6.099999999999994,1760938629.7773933,,,Job_Ord-00020_1,,Cutting,,,
100,stage_queued,6.099999999999994,1760938629.7773933,,,Job_Ord-00020_1,,Cutting,,,Cutting_Machine1
101,stage_exit,9.692311121948403,1760938629.7930663,,,Job_Ord-00019_1,ProductA,Cutting,,{'stage_flow_time': 3.592311121948409},Cutting_Machine1
102,worker_released,9.692311121948403,1760938629.7930663,,,Job_Ord-00019_1,,Cutting,,{'worker_id': 'W001'},
103,worker_wait_start,9.692311121948403,1760938629.7930663,,,Job_Ord-00019_1,,Routing,,,
104,worker_wait_end,9.699999999999982,1760938629.7930663,,,Job_Ord-00019_1,,Routing,,{'worker_id': 'W007'},
105,material_wait_end,9.699999999999982,1760938629.7940876,,,Job_Ord-00019_1,,Routing,,,
106,stage_queued,9.699999999999982,1760938629.7944179,,,Job_Ord-00019_1,,Routing,,,Routing_Machine1
107,stage_exit,9.999631794090478,1760938629.7972279,,,Job_Ord-00012_1,ProductA,Cutting,,{'stage_flow_time': 3.8996317940904834},Cutting_Machine1
108,worker_released,9.999631794090478,1760938629.7972279,,,Job_Ord-00012_1,,Cutting,,{'worker_id': 'W001'},
109,worker_wait_start,9.999631794090478,1760938629.7972279,,,Job_Ord-00012_1,,Routing,,,
110,worker_wait_end,9.99999999999998,1760938629.798248,,,Job_Ord-00012_1,,Routing,,{'worker_id': 'W002'},
